no,name,address,review_star,review_text,gu
1,하누소 창동본점,서울 도봉구 노해로 327 5층,2.2,이 곳 가장 문제 서비스 따위 나빠도 손님 많다고 생각 한 직원 들 태도 맛 논 기본 적 마인드 굉장히 불쾌한 곳 특히 줄 있는 경우 당장 다른 식당 추천 원래 직원 들 응대 형편 없지만 바쁠 때 거의 구박 수준 오늘 이후 두 번 다시 일 없다  우거지 갈비탕 달랑 뼈 세 개 그 중 하나 기름 범벅 갈비탕 집 갈비탕 만두 훨씬 맛있는 곳  냉면 맛 늘 냉면 파가 파맛 안나 육수 좀 당황 ,도봉구
2,동적불고기&깡통구이 쌍문점,서울 도봉구 도봉로109길 30 1층,4.5,희한하게 최근   점주 신분 들 후기 여 기만 있네 옇    낮 방문 사람 많음 그만큼 유명하고 맛있다는 이야기 근데 서비스 이 많이 아쉬워요 고기 제외 다른건 더 달라하거나 해도 진짜 계속 말    진짜 구차하게 이 거 내 네다섯 번 말 돈 고기 술 빨리 빨리     반찬 뭐 더 달라 그러면 세네 번 말 겨우 까말까 한            밥 먼저 뻔 고기 환 기구 엄지 손톱 만 검정 기름 때 불판 뚝           위생 서비스 신경안 편이 맛 생각 가도 한 집  몇 년 변함 없이 진짜 맛있네요 메뉴 많이 갈비살 여전히 맛있고 등심 부드럽네요  양념 소 갈비살 청국장 명품 요    냄새 안나 맛 도리 입니다 직원 분들 너무 친절해서 기분 좋은 한 끼 강추 왕따 봉   ,도봉구
3,대문,서울 도봉구 시루봉로 139-6,3.6,룸타입 입 식 식탁 어른 모시 오기 좋네요 나물 슴슴 게장 보리 굴비 다 맛 요 서빙 여사 님 친절하세요 밥 양 더 기도 주말 사람 들 대기 바쁘던데 맛집 봄  네이버 블로그 보고 가지 음식 특색 없고 카운터 남자 분 불친절해 다시  맛있어요 보리 굴비 특히 뼈 발라 좋구 잡채 맛있고 코스 아주 조 처음 계절 죽도 맛 ,도봉구
4,무수옥,서울 도봉구 도봉로165길 15,3.2,서비스 불친절 맛 별로 정도 아니라 그냥 무맛 소금 맛 시설 좁고 오래됨 다 감수 맛 없고 음식 정성 없음         ,도봉구
5,쌍문동판다쓰,서울 도봉구 우이천로24길 49 1층,4.1,존맛 친구 들 가기 좋아요  어 향가 새우 맛있어요 다른 가게 어 향가 새우 소스 들 간장 맛 강하고 칠리 맛 다소 약한 느낌 간 상당히 강해요 새우 탱 글 가지 두께 좋아요 샤 오기 처음 신기하고 독특했어요 중국 식 냉채 샐러드 같아요  맛있음 분위기 좋음 비쌈 ,도봉구
6,동해수산,서울 도봉구 도봉로 663-8,3.8,직원 분들 모두 친절하고 음식 다 맛있어요 서비스 잘 감동    모임 있을 때 좋을 거 같아요  친절하 심 부모님 모시 외식 좋음  가성 비 별로 ,도봉구
7,수정궁,서울 도봉구 방학로 173,3.6,    사장 님 바 필 감산 쉐프 취재 못  사장 님 평범합니다 ,도봉구
8,메이다이닝,서울 도봉구 도봉로169길 202,3.4,맛있어요 파스타 스테이크 훌륭해요 파스타 좋아하는데 리얼 파스타 전문점 다음 룸 미리 예약      마르 리타 피자 맛있었어요 프로슈토 피자 햄 두껍고 질겨 프로슈토 아니라 하몽 그런 생각 그 외 뒤쪽 정원 너무 아름다웠네요 다음 또 방문 ,도봉구
9,옹기꽃게장,서울 도봉구 도봉산4가길 14-9 1층,3.3,한 상차림 충분히 배부르네요 맛 없네 어쩌 말 많은데   인       원 이라는 가격 좀 염두 리뷰 잘 저 양념 간장 더 괜찮았어요  수저 그릇 뭐 그냥 맛 있는데 너무 안좋았어요     가성 비갑 한 상차림    ,도봉구
10,삼오집,서울 도봉구 도봉로165길 4,3.2,맛있음  김 이런질 소 곱창 처음 봄  버닝 스티븐 연 서울 제일 맛있는 곱창전골 영화 간판 보고 꾸역꾸역 집 굳이 멀리 만족스러웠음 ,도봉구
11,소도둑 도봉동점,서울 도봉구 도봉로 909 1층,4,무한리필 이 퀄리티  무한리필 고기 좋고 부드러워요 숯불 더 맛있네요  제 무한리필 중 제일 좋은 퀄리티 고기 ,도봉구
12,스시혼 창동점,서울 도봉구 도봉로110길 8,3.3,초창 기 스시 혼 생각 초심 많이 듯        일본 나름 초밥 좀 여기 맛있는 집 드문 것 같음 방금 문득 다시 생각 포장 서비스 없으므로 매장 식사 추천 ,도봉구
13,마쯔무라돈까스 본점,서울 도봉구 노해로63길 84 지하1층,4.3,너무 좋음 고기 질 좋고 부드럽고 맛있고같이 온 치킨 살 기 대안 맛있어서 놀람 돈까스 한판 자체 다 솔직히 힘든데 다 수 있을 정도 맛있었다  역시 마쯔무  창동 명물 이 가격 이 퀄리티 진짜 최고 ,도봉구
14,묵은지사랑,서울 도봉구 도봉로164길 38,4.3,얼마 전 가성 비 좋고 맛 무난 좋은 식당 하지만 최근 방문 경 영진 의심 정도 서비스 변했고 밑반찬 맛 예전 같지 바로 조리 음식 같지 음식 느낌 생선 구이 그 전 갓 구 은 고소함이 있었는데 오래 방치 생선 구이 느낌 입니다 그리고 한동안 배추 값 비싸져서 그런 것 하지만 반찬 묵은지 기 본 찬 더 이상 안 아쉬움 더합니다 어떤 식당 초심 유지 것 힘든것이겠죠    점수 기준 표   동네 기준   개 일부러 간다   개 맛있다 자주 만하   개 적당히 때 한번 씩 간다   개 재 방문 그닥   개 이 음식 컵라면 회사 근처 젤 괜찮은 맛집 가성 비도 좋음  꼬막 정식 가격 착하고 양도 많고 맛 좋습니다   인 이상 방문 선택 폭 좀 제 게 간이 좀 살짝 아쉽지만 다시 방문 지인 들 추천 ,도봉구
15,삿뽀로 창동점,서울 도봉구 도봉로 610 2층,2.2,왜 스시 와사비 그렇게 잔뜩 거 그냥 와사비 거 같았어요 매워서 기침 난리 또한 비싼 돈 퀄리티 다 아쉬워 제 다 부끄러웠습니다  점 장 시작 서비스 정신 제로 영수증 처리 하나 제대로 못 손님 탓 죄송하다는 말 어려운지 실실 쓸데없이 사람 스트레스  흠 음식 질 종업원 교육 아쉽네요 ,도봉구
16,호호분식,서울 도봉구 도봉로121길 32,4.3,카드 수수료 때문 계좌 이체 그런데 현금영수증 안되는건 탈세  두 번 방문 함 치즈 밥 젤 존맛 이구 탕수육 가성 비 괜찮았어요 라면 개인 적 신라면 느낌 좋아하는데 안성탕면 같은 느낌 치즈떡볶이 계산 때 맛 괜찮았는지 좋았어요  치즈 밥 맛있고 쫄면 맛있음 떡볶이 걍 그렇고 탕수육 낫 마스 ,도봉구
17,신화푸드빌리지 서울창동점,서울 도봉구 도봉로 526 2층,3.3,여기 쓰레기 동생 생일 기분 좋게 아주머니 들 계속 얼 알바생 다 백김치 신경 안 물 다 옷 가방 젖 뻔 사과 안 저녁 시간 영업 더 차도 없고 주차공간 많은데 카페 차 빼 닥달    아니 우리 매상 게 얼마     손님 들 눈치 똥 서비스 맛 좋으면 뭐 하나 서비스 똥  평이 극 과극 반신반의 역시 주차 편리한 거 일단 벽면 메뉴판 메뉴 수 없다면 좋을 것 같고 엄마 모시 음식 값 서버 분 서비스 너무 안좋아서 바쁘지도 무언가 요청 대답 안 사람 무시 아니고 기본 적 응대 음식 맛 걸 개선 필요해  반찬 하나 하나 맛있고 직원 들 친절하시고 고기 주심 가격 괜찮아요 아주 만족했어요 ,도봉구
18,황금정원,서울 도봉구 방학로 312,2.9,           엄니  배민 너무 맛있어서 방문 돌솥밥 매력  별하나 아깝다 같은 같은 가격 백운호수 백 운 재는 놋그릇 반찬 무한 리필 쌈 유기농 생수 카페 있는데 황금정 원 반찬 추가 돈 날 강도 느낌 제육   인분 접시 바닥 진심 주인 장 백 운재 보고 오라 내 홍보 아니지만 같은 가격 대 너무 접 비교 그런다 안 간다 위 사진 백 운 재임 ,도봉구
19,도봉산양고기,서울 도봉구 도봉로191길 99-6,2.7,예약 후 방문 양고기 맛있고 반찬 들 하나 하나 다 괜찮네요 면 야외 자리 다시 방문  사람 많으니 여유 있게 가야 함  사람 무척 많은데 그걸 감당 깜냥 안되는 식당 입니다 우리 주문 테이블 같은 메뉴 먼저 제공 주문 메뉴 우리 오기 한 시간 사십분 첫 메뉴 하다못해 공기밥 두 시간 이 모든 기다림 맛 아닙니다 ,도봉구
20,천지연 서울창동점,서울 도봉구 도봉로 526,3,금일 장모님 와이프 처제 세명 이 기본 적 서비스 아예 없다고 저 도 그렇고 주변 서비스 직 많아서 보통 항상 즐겁게 편 정말 최악 처음 입구 맞이 분만 친절하고 그 외 서빙 사람 들 두 분 응대 전혀 그냥 초등학생 들 못 기본 수준 못 사람 들 일 같다고 저 그런 적 없는데 처음 구체 적 하나 말 반찬 머리카락 설명 후 달라 한마디 무전 이 거 한마디 보통 아니더라도 미안하다 한마디 보통 아닌가요 사회 성 없는 분 들 일 하나 무 일이 없을거 같구요 분 들 이 거 꼭 보시 그런거 세상 쿨하신 분 들 가세 카카오 리뷰 처음 네이버               리뷰 별 점 항상 만점 사람 입니다  로비 약  시간 대기 후 음식점 주문 음료 먼저 반찬세 팅 없이 또 한참 그 후 고기 반찬 함께 고기   인분 모조리 불판 뒤 조금 달라 원래 이렇게 라며 다 결국 다 그릇 차라리 것 기본 적 주문 더 낫 벨 아무 반응 없고 번 더 도안 또 한참 직원 그때 주문 띵동 소리 테이블 번호 아무 안 그럼 벨 의미 있나요 또 옆 리 필통 있어 직접 라며 제지 아니 얼 밥 직원 식당 분위기 때문 기분 곳 처음 요  처음 직장 회식 자리였고 조용하고 넓은 자리 분위기 좋았지만 서비스 직원 들 말투 귀    고기 직원 대충 덜 고기 급하게 입속 물컹거 맛 고객 건성 계산서 확인 안 옆 테이블 자리 술   병값 지불 뻔 ,도봉구
21,트라토리아진,서울 도봉구 도봉로110길 39-16 1층,4.3,굿 베리 굿  가격 대비 가성 비 좋은 건 파스타 기본 재료 들 없었고 새우 사이즈 약간 크림 소스 그냥 묽고 왜 맛집 추천 의아     ,도봉구
22,방학사거리짬뽕집 본점,서울 도봉구 도당로27길 22 1층,2.6,    비쌈  오징어 짬뽕 집 국물 시원 맛있습니다 ,도봉구
23,사이코우스시 쌍문점,서울 도봉구 방학로7길 99,2.8,제 근무 곳 늘 회식 장소 애용 곳 입니다 가성 비 갑 사람 많을 때 음식 단점 있지만 이런 평가 곳 아닙니다 저 평가 분 들 나름 이유 있으시겠지만 억지로 거 좀 화가 글 이 동네 사람 들 다 맛집 입니다 사장 님 좋은 음식 번창    주문 잘 못 메뉴 하나 그래도 맛있음 직원 들 다 어리바리 신입사원 씨 듯 최근 나가사키 짬뽕 소스 비닐봉투 처음 응대 직원 사과 안 그릇 그냥 나중 온 다른 직원 사과 음식 다시 음료 서비스 이미 음식 쓰레기 기분 상해 차라리 환불  왜 다 캘리포니아롤 초밥 맛 없네요 생선회 물컹물컹 젤리 근데 왜 이렇게 사람 많은지 이해 ,도봉구
24,채랑,서울 도봉구 도봉로 465 1층,4.2,  년 되가는곳 프랜차이즈 들 야채 양도 훨씬 짐 맛있어요 갓난아기 힐 수 있는 의자 있어서 때 편하게 밥 수 있어 좋습니다  맛있게  너무 맛있구요 반찬 류 또한 맛있고 다양하더군요 사장 님 직원 분들 친절하셔서 기분 좋은 저녁 번창 ,도봉구
25,쭈꾸미킹 쌍문점,서울 도봉구 도봉로 425 1층,2.8,진짜 불친절     퇴근 바쁜 사장  사장 님 같은 분 그냥 모든 사람 말 대꾸 안함 손님 싫어 보임 ,도봉구
26,함스브로트과자점,서울 도봉구 도봉로 483,3.9,맛있어요 또 담 거 근데 빵 쟁반 종이 테이프 종이 계속 재사용 거 같더라고요 그래서 미 포장 빵 담 때 찝찝했습니다 그냥 새 종이 쟁반 위 더 좋았을듯  마늘빵 추천 양파 베이글 추천 버터케이크 초심자 들  티라미수 케잌 맛있습니다 ,도봉구
