,name,addr,grade,review
0,진미평양냉면,서울 강남구 학동로 305-3 정각빌딩 1층,3.7,정말 정말 정맣 좋아하는 곳 멜로 체질 알 곳 제일 좋아하는 평냉집 🥹💕💕 
1,진미평양냉면,서울 강남구 학동로 305-3 정각빌딩 1층,3.7,나 좋았다 어복쟁반 맛있고 유명한 집 번 쯤 방문 것 괜찮을듯 나 또 가야 쇠주 잔 평냉 워낙 사람 들 입맛 달라 이 
2,진미평양냉면,서울 강남구 학동로 305-3 정각빌딩 1층,3.7,어복쟁 육수 야채 리필 만두 반 접시 평냉 
3,중앙해장,서울 강남구 영동대로86길 17 육인빌딩 1층,3.9,맛있는데 테이블 호출 벨 없는게 너무 아쉬워요 ㅠㅠ 모든 직원 분들 분주하셔서 뭐 필요한거 있을 때 주문 하 거나 제공 너무 힘들어요 ㅠ 구석 날 볶음밥 한번 진짜 힘들어요 
4,중앙해장,서울 강남구 영동대로86길 17 육인빌딩 1층,3.9,개운하고 얼큰한 곱창전골 점원 너무 바쁘고 이해 수 없는 한국어 해 힘들다 
5,중앙해장,서울 강남구 영동대로86길 17 육인빌딩 1층,3.9,
6,스케줄 청담,서울 강남구 선릉로152길 37 1층,3.4,어플 예약 방문 대부분 직원 들 마스크 착용 안 있었고 2 번의 주문 누락 이해 정장 자켓 2 층 직원 분 불친절 인해 즐거움 싹 채 결제 영수증 기본 아닌가요 영수증 달라 똥 표정 영수증 10만원 이상 영수증 아까우셨나요 저 서비스업 쪽 일 사람 일 땐 기본 서비스 마인드 일 사람 입니다 사람 그러는 일 그렇게 좋겠구요 기계 오류로 주문 안 재차 확인 지배인 분들 아닌가요 답답해서 몇번 재 주문 불구 누락 거 덕분 파스타 잘 김치볶음밥 맛있지 인터넷 맛있다곤 같 이간 사람 들 전 별루 곳 1 위 으 휴 
7,스케줄 청담,서울 강남구 선릉로152길 37 1층,3.4,문어 진짜 맛있었음 분위기 짱 좋음 
8,스케줄 청담,서울 강남구 선릉로152길 37 1층,3.4,5월 6월 리뷰 냄새 킁킁 저 회사 근처 가끔 생 각 맛 있고 생 각 불친절하지 ㅋㅋㅋ 
9,꽁티드툴레아 도산점,서울 강남구 도산대로49길 39 1층,3.3,김치볶음밥 평범했고 파스타 평균 이하 음식 와인 모두 가격 정말 너무합니다 주말 그런지 가게 작아서 복잡하고 시끄럽네요 🫥 
