,name,addr,grade,review
0,조연탄,서울 강서구 곰달래로60길 29,4.1,고기 메뉴 점점 좋아요 사장 님 한 점 씩 입 첫 고기 제일 맛있어요 😁 
1,조연탄,서울 강서구 곰달래로60길 29,4.1,ㅠㅠ 너무 맛있어요 비냉 산낙지 너무 불쌍해서 입 
2,조연탄,서울 강서구 곰달래로60길 29,4.1,
3,유림 닭도리탕,서울 강서구 공항대로71길 5,3.2,맛있어용 저 인생 닭볶음탕 찰밥 같이 최고 
4,유림 닭도리탕,서울 강서구 공항대로71길 5,3.2,한 방 오리 백숙 국물 대박 입니다 
5,유림 닭도리탕,서울 강서구 공항대로71길 5,3.2,감자 식감 베리 굿 
6,금고깃집 마곡본점,서울 강서구 마곡동로 61 에이스프라자 109호, 203~205호,3.4
7,금고깃집 마곡본점,서울 강서구 마곡동로 61 에이스프라자 109호, 203~205호,3.4
8,금고깃집 마곡본점,서울 강서구 마곡동로 61 에이스프라자 109호, 203~205호,3.4
9,키누카누 발산점,서울 강서구 공항대로 247 퀸즈파크나인 지하1층 103,104호,3.5
10,키누카누 발산점,서울 강서구 공항대로 247 퀸즈파크나인 지하1층 103,104호,3.5
11,키누카누 발산점,서울 강서구 공항대로 247 퀸즈파크나인 지하1층 103,104호,3.5
12,고양이정원,서울 강서구 개화동로19길 18 1층,2.6,혼자 2 인석 1 인석 가라 불친절해요 2 인 4 인석 제제 안 쿠폰 홈페이지 가입 지급 버젓이 기재 그런거 없다고 고양이 들 귀엽지만 관리 안되어있어 불쌍해요 고양이 불쌍해서라도 애초 이런 곳 돈 고양이 아니었는데 후회 
13,고양이정원,서울 강서구 개화동로19길 18 1층,2.6,좀 같기도 의외로 외국인 들 
14,고양이정원,서울 강서구 개화동로19길 18 1층,2.6,
15,공항칼국수,서울 강서구 공항대로 18-1,2.4,버섯 칼국수 
16,공항칼국수,서울 강서구 공항대로 18-1,2.4,공항 사거리 앞 있을 때 그럭저럭 자리 모든 부족한 느낌 오래된 맛 기 본 서비스 느낌 안타까 움 
17,공항칼국수,서울 강서구 공항대로 18-1,2.4,양 하나 맛있었어요 김치 맛있고 내부 넓었음 
18,마부자생삼겹살김치찌개,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호,2.5,맛 좋아요 가성 비 좋아요 저녁 사람 많아서 좀 북적 북적 
19,마부자생삼겹살김치찌개,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호,2.5,작 때 역시 맛있어 요강 추 
20,마부자생삼겹살김치찌개,서울 강서구 마곡중앙5로 6 마곡나루역보타닉푸르지오시티 1층 119~124호,2.5,
21,등촌칼국수,서울 강서구 화곡로64길 68 1~3층,3.8,그동안 등촌 샤브샤브 체인점 이 곳 괜히 아니네요 
22,등촌칼국수,서울 강서구 화곡로64길 68 1~3층,3.8,처음 곳 법 친절하세요 맛 다른 곳 비슷합니다 양 많아서 밥 
23,등촌칼국수,서울 강서구 화곡로64길 68 1~3층,3.8,자주 단골 어제 너무 불친절해서 정말 실망 입니다 저녁 식사 앞 주차 관리 아저씨 할아버지 입구 문도 안 분명 안 장사 가라 손 밀 화 너무 실망 요 
24,청산별곡 발산점,서울 강서구 공항대로 290 순봉빌딩 2층 207호,3.0,직원 분 친절한데 다래 정식 생각 실망 스러웠습니다 
25,청산별곡 발산점,서울 강서구 공항대로 290 순봉빌딩 2층 207호,3.0,밥 반찬 한가지 없고 밥 곤드레 밥 간장 뭐 한가지 성의 있는것도 없고 이렇게 없는 밥 드문 일이 직원 들 불친절한 태도 말투 1등 이다 점심식사 실패 
26,청산별곡 발산점,서울 강서구 공항대로 290 순봉빌딩 2층 207호,3.0,예전 여러 번 곳 오랜 만 방문 담백하고 건강한 음식 들 짐 맛있게 직원 분들 친절하시고 감자 옹심이 탕수 서비스 맛있게 매장 넓고 깨끗하고 식후 커피 잔 수 있는 공간 마련 굿굿 건물 원래 엘리베이터 없었는데 새로 이동 더 편해졌어요 가성 비 좋은 한식 집 추천 
27,칼스토랑,서울 강서구 방화대로6라길 2 1층,4.3,칼 스토 마곡 맛집 
28,칼스토랑,서울 강서구 방화대로6라길 2 1층,4.3,분위기 좋았어요 
29,칼스토랑,서울 강서구 방화대로6라길 2 1층,4.3,처음 방문 때 깔끔하고 깊은 맛 사람 들 취향 입맛 다르니지만 개인 적 일부러 줄 서서 정도 아니였던것 같습니다 
30,갈비생각 발산점,서울 강서구 강서로54길 42 1층,3.8,또 
31,갈비생각 발산점,서울 강서구 강서로54길 42 1층,3.8,정말 맛있게 
32,갈비생각 발산점,서울 강서구 강서로54길 42 1층,3.8,양념 갈비 맛 상당합니다 친절하구요 
33,광주똑순이아구찜,서울 강서구 강서로 375-8 정호빌딩 1층,3.9,
34,광주똑순이아구찜,서울 강서구 강서로 375-8 정호빌딩 1층,3.9,매콤 맛있고 해 장용 굿 
35,광주똑순이아구찜,서울 강서구 강서로 375-8 정호빌딩 1층,3.9,아구찜 너무 맛있게 강 추해요 
36,강원도고성막국수,서울 강서구 방화대로49길 6-7,3.5,옛날 같지는 여전히 손님 한 곳 
37,강원도고성막국수,서울 강서구 방화대로49길 6-7,3.5,이 겨울 난방 안 영업 시간 3시 까지라면서 부모님 식사 중 데 다 재촉 정말 이상한 영업 집 안 집 
38,강원도고성막국수,서울 강서구 방화대로49길 6-7,3.5,
39,봉이밥,서울 강서구 마곡중앙로 171 안강프라이빗2차 1층 103호,3.6,제육 맛있어요 기본 나물 들 맛있어 요다음 털 기 구 
40,봉이밥,서울 강서구 마곡중앙로 171 안강프라이빗2차 1층 103호,3.6,다른 메뉴 맛있는데 개인 적 특히 쭈꾸미 볶음 맛있게 ㅎㅎ 땀 준비 ㅎㅎ 
41,봉이밥,서울 강서구 마곡중앙로 171 안강프라이빗2차 1층 103호,3.6,
42,샤브20 발산역점,서울 강서구 공항대로 261 2층,4.1,음식 맛있고 좋아요 그런데 저희 2시 쯤 3시 에 브레이크 타임 있다고 설명 좋은데 아니면 5분 전이라도 넌지시 말 쉬는시간 빨리 옷 말 아줌마 때문 식상했네요 손님 그런 식 대해 생각 좀 
43,샤브20 발산역점,서울 강서구 공항대로 261 2층,4.1,무한리필 소고기 질 진짜 좋음 닭강정 존맛탱 육수 맛있고 월남쌈 죽 야채 풍족하게 있음 저녁 만석 데 이해 감 
44,샤브20 발산역점,서울 강서구 공항대로 261 2층,4.1,
45,긴꼬리초밥 마곡직영점,서울 강서구 공항대로 269-15 힐스테이트에코마곡 2층 201호,4.1,1 오래 2 굳이 길게 얇 기만 식감 뱔 3 신선하지 4 가격 저렴한 생선 종류 5 배고프다 
