,name,addr,grade,review
0,신림춘천집 구로디지털직영점,서울 구로구 디지털로32나길 17-23 우남산업 102호,4.6,막국수 오래 닭갈비 같이 
1,신림춘천집 구로디지털직영점,서울 구로구 디지털로32나길 17-23 우남산업 102호,4.6,나 입맛 지극히 평범 정상 내 입맛 그냥 평범한 닭갈비 맛 이렇게 줄 서서 일 ㅠ 
2,신림춘천집 구로디지털직영점,서울 구로구 디지털로32나길 17-23 우남산업 102호,4.6,닭갈비 맛집 점심 사람 많고 맛있어요 닭갈비 막국수 치즈 많고 고구마 치즈 일반 떡 같이 옥수수 콘 
3,월래순교자관,서울 구로구 디지털로19길 13,3.9,갓 성비 이 가격 이 정도 정말 너무 너무 맛 상 타임 돈 
4,월래순교자관,서울 구로구 디지털로19길 13,3.9,군 만두 맛있어요 ㅎㅎ 
5,월래순교자관,서울 구로구 디지털로19길 13,3.9,
6,강촌숯불닭갈비 본점,서울 구로구 공원로6나길 35-2,3.1,닭목 살 개맛 있는데 비닐봉투 조금 그랬 움 맛있긴 하지만 줄 서서 정도 아님 직원 분들 너무 바빠서 불친절 ㅠㅠㅠ 
7,강촌숯불닭갈비 본점,서울 구로구 공원로6나길 35-2,3.1,
8,강촌숯불닭갈비 본점,서울 구로구 공원로6나길 35-2,3.1,맛 최고 가성 비 굿 친절하네요 분위기 그래요 
9,화양가옥 구로디지털단지점,서울 구로구 디지털로32나길 17-23,4.4,점심 저녁 가지 냉동 품 내 오는 수준 음식 가격 실망 
10,화양가옥 구로디지털단지점,서울 구로구 디지털로32나길 17-23,4.4,아구 구석 탱 이 찾기 힘든 곳 있으면서 가격 백화점 다 
11,화양가옥 구로디지털단지점,서울 구로구 디지털로32나길 17-23,4.4,파스타 맛집 피자 맛있어요 
12,평양냉면,서울 구로구 고척로10길 65,3.7,3 업 전통 있는 오류동 평양 냉면 계보 창 족적 있는 냉면집 슴슴 육 향 은 향 메밀 향 냉면 기억 있었는데 오랫 만 방문 기억 오류 탓 소고기 육 향 강하게 당황 스럽 기도 긍정 적 생각 은은한 메밀 향 함께 쫄깃 식감 가성 비도 좋은 대중 적 평양 냉면 아닐까 생각 since 1972 
13,평양냉면,서울 구로구 고척로10길 65,3.7,맛없는데 육 향 안 걍 비쌈 
