,name,addr,grade,review
0,강강술래 시흥점,서울 금천구 시흥대로 193 금천ICT타워 2층,3.3,
1,강강술래 시흥점,서울 금천구 시흥대로 193 금천ICT타워 2층,3.3,어제 한 돈 맛있었다 가격 좀 
2,강강술래 시흥점,서울 금천구 시흥대로 193 금천ICT타워 2층,3.3,고기 반찬 뒤 후식 아주 센스 만점 입니다 하지만 직원 들 중 너무 불친절하 신분 들 계신것 같아요 ㅠ 음식 맛 가게 생각 앞 고객 위 직원 친절함이 있으면 좋겠네요 
3,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,4.1,맛있었어요 콩나물 엄청 좋아해서 많이 많이 조금 아까웠 슴 ㅠㅠ 포장 너무 좋았습니다 다음 불고기 너무 맛있게 습 
4,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,4.1,맛있음 신라면 매워서 못 맵 덜 매운 맛 매운 맛 존재 함 
5,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,4.1,맛집 데 뭐 맛있는지 
6,동흥관,서울 금천구 시흥대로63길 20,2.6,길게 설명 필요없네요 짬뽕 맛없고 짬뽕 국물 맛 불맛 이런 맛집 맛 커녕 본래 짬뽕 맛 없음 짬뽕 고추 가루 탕 아닙니다 이집 짜장 맛있까 서비스 은 주문 20분 음식 안나 주문 아직 음식 안 대놓고 거짓말 사과 한마디 없고 원래 음식 듯 툭 보고 이 직원 들 왜 고작 짬뽕 한 그릇 손님 그 런가 그리고 화장실 더럽습니다 화장실 그 집의 위생 
7,동흥관,서울 금천구 시흥대로63길 20,2.6,금천구 가장 오래된 화상 중국집 실내 인테리어 제법 중국 요리 집 분위기 있다 옛날 식 짜장 수 있고 딤섬 종류 포장 사이드 메뉴 만하 since 1951 
8,동흥관,서울 금천구 시흥대로63길 20,2.6,맛있기는 한 데 뜨거운 국문 플라스틱 그릇 건 집의 역사 좀 안 듯 
9,도원,서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호,3.5,
10,도원,서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호,3.5,별로 맛 많이 친절 정준하 이름 이런 밥집 정준하 욕 중국집 tv 주인 장 양반 같이 tv 소개 근처 5000원 대 돈까스 무한 집 손님 대 가성 비 이런거 니 스스로 교육 좀 맛 빵점 홀 두 중국 여자 들 빵점 사장 빵점 요리 내 오는 싸가지 없는 젊은 직원 놈 빵점 싸가지 없는 것 들 끼리 모 더럽게 맛없는 짱깨 리파 집 
11,도원,서울 금천구 범안로 1130 디지털엠파이어빌딩 1층 101호,3.5,먹방 유튜 버들 영상 보고 가격 상전 괜찮았을지 가격 오른 지금 메리트 없네요 음식 전체 적 밍숭맹숭했어 저녁 시간대 그런지 면도 불어 그다지 일단 거르 먹방 유튜버 확실해 상 x 기 x 이 
12,개성손만두요리전문점 가산디지털점,서울 금천구 가산로9길 22,4.6,
13,개성손만두요리전문점 가산디지털점,서울 금천구 가산로9길 22,4.6,금천구 몇 안되는 맛집 중 한 곳 
14,개성손만두요리전문점 가산디지털점,서울 금천구 가산로9길 22,4.6,
15,동대문털보네,서울 금천구 디지털로9길 99 스타밸리 1층,4.8,고기 사람과 맛있 능 고기 더 맛있게 사장 님 친절하고 고기 맛있고 저만 저만 것 같네요 
16,동대문털보네,서울 금천구 디지털로9길 99 스타밸리 1층,4.8,
17,동대문털보네,서울 금천구 디지털로9길 99 스타밸리 1층,4.8,맛있어용 길고 내부 평범한 고깃집 환기 좀 안되네요 ㅎㅎ 
18,순댕이네얼큰수제비,서울 금천구 시흥대로136길 1,3.0,문 날 많아서 먹기 힘들어요 ㅎ 평균 웨이 팅 1시간 그래도 너무 맛있으니 다시 가게 
19,순댕이네얼큰수제비,서울 금천구 시흥대로136길 1,3.0,세상 가장 맛있는 수제비 15년 전 작은 차고 때 부터 힘든 시기 항상 고마웠습니다 얼 하얀 국물 맛있어요 
20,순댕이네얼큰수제비,서울 금천구 시흥대로136길 1,3.0,
21,북촌삼대갈비 가산본점,서울 금천구 가산로 149 1층,4.1,가성 비 좋습니다 양념 저 많이 생 갈비 맛있었어요 맛집 가성 비 좋은 집 입니다 
22,북촌삼대갈비 가산본점,서울 금천구 가산로 149 1층,4.1,가성 비 좋게 단체 회식 장소 비교 적 넓고 무한리필 고기 수 있어서 좋은 선택 수 있고 개인 적 돼지 생 갈비 좋았다 
23,북촌삼대갈비 가산본점,서울 금천구 가산로 149 1층,4.1,맛집 평범합니다 
24,마벨리에 시흥점,서울 금천구 시흥대로 201 홈플러스 7층,3.0,다 좋은데 타임 12시 30분 인데 12시 27분 에 솔드아웃 황당 11시 30분 굴 ㅣ 그건 맛있게 타임 잠깐 스페셜 야박함 여러 번 아니라 한번 못 분 들 대다수 입니다 그래도 맛 있어서 안 잘 좋겠습니다 
25,마벨리에 시흥점,서울 금천구 시흥대로 201 홈플러스 7층,3.0,여기 5만원 급 뷔페 중 상급 생각 주말 빕스 프리미어 같은거 여기 얼마나 혜자 알 
26,마벨리에 시흥점,서울 금천구 시흥대로 201 홈플러스 7층,3.0,후퇴 여러분 뷔페 70 군데 다가 본 입장 처음 롯데 호텔 이 상의 퀄리티 바로 걱정 얼마나 가나 어제 오늘 포인트 적립 개 준지 오래 구 입구 전혀 인솔 안되구요 직원 들 도 일당 해 ㅋㅋㅋ 음식 맛 뷁 가지 후퇴 입니다 재탕 왕국 접시 하 ㅋㅋㅋㅋ 음식물 안 아쉽습니다 후퇴 하 아아 
