,name,addr,grade,review
0,애플하우스 이수,서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호,3.1,이 십년 째 나 추억 장 소 최애 메뉴 만두 즉떡 김 알 배우 모델 들 데리 가도 모두 들 극찬 곳 특히 만두 ㅎㅎ 이제 너무 띵굴마켓 야함 완전 똑같은 맛 아니지만 그래도 이 어디 
1,애플하우스 이수,서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호,3.1,평일 저녁 6시 반 쯤 웨이 팅 없어서 슉 즉떡 2 인분 만두 개 걍 ㅋㅋ 호기심 번 쯤 ㄱㅊ 근데 굳이 재 방문 안 같아여 7시 반 쯤 보 웨이 팅 많더라 구 
2,애플하우스 이수,서울 동작구 동작대로27다길 29 서광시티뷰 2층 201호,3.1,유명한 만두 물론 떡볶이 기대 이상 맛있어서 욥 주말 2시 쯤 웨이 팅 20-30 여분 정도 만족스러웠 습 
3,전주전집,서울 동작구 동작대로7길 19,3.1,다양한 막걸리 수 있는 곳 
4,전주전집,서울 동작구 동작대로7길 19,3.1,모듬전 육전 맛 그리고 위생 얘기 분들 있으신 데 2 층 딱히 위생 안좋은 부분 못 어딜 보고 그러시는지 
5,전주전집,서울 동작구 동작대로7길 19,3.1,가성 비 먹기 좋음 사람 너무 자리 좁음 
6,서일순대국,서울 동작구 여의대방로24길 16 1층,3.5,돼지국밥 쿰쿰한 맛 있어야 생각 1 인 딱 적당해서 맛있어요 
7,서일순대국,서울 동작구 여의대방로24길 16 1층,3.5,
8,서일순대국,서울 동작구 여의대방로24길 16 1층,3.5,너무 맛있고 양도 많아요 
9,등나무집,서울 동작구 대림로 52,3.7,맛 있지만 가격 좀 ㅎ 한 우도 아닌데 
10,등나무집,서울 동작구 대림로 52,3.7,맛있게 위생 쪼오금 더 신경 이 짝 동네 맛집 추천 집 
11,등나무집,서울 동작구 대림로 52,3.7,맛있고 직원 분들 다 친절하시고 애기 밥 예뻐 해주시 마음 편하게 최고 맛집 
12,가마솥손두부,서울 동작구 남부순환로271길 20,4.1,김치 순두부 산채 비빔밥 둘 다 맛있었어요 밑반찬 하나 하나 너무 맛있네요 특히 연근 것 맛있어요 종업원 분들 모두 친절하십니다 
