,name,addr,grade,review
0,블루보틀 성수 카페,서울 성동구 아차산로 7,3.1,
1,블루보틀 성수 카페,서울 성동구 아차산로 7,3.1,커피 맛 그저 그렇고 분위기 인상 깊지 아쉬웠음 
2,블루보틀 성수 카페,서울 성동구 아차산로 7,3.1,나라 맛 다르던데 맛없는 편 아이스 라떼 기준 분 들 너무 너무 친절하셨어요 😉😉😉🤗🤗 그래서 기분 좋았어요 
3,소문난성수감자탕,서울 성동구 연무장길 45,2.8,음 왜 맛집 고기 너무 질 기고 일반 감자탕 집 더 부드럽고 안남 배탈 볶음밥 왜 꼭 별로 
4,소문난성수감자탕,서울 성동구 연무장길 45,2.8,불친절하고 기본 적 손님 귀찮아 
5,소문난성수감자탕,서울 성동구 연무장길 45,2.8,줄 서서 원래 잘 감자탕 집 못 볶음밥 감자탕 국물 김 가루 깻잎 오히려 맨 밥 맛 없었습니다 
6,할아버지공장,서울 성동구 성수이로7가길 9,3.3,터 무늬 없이 비싼 가격 
7,할아버지공장,서울 성동구 성수이로7가길 9,3.3,음료 온 더락 잔 같이 특이하더라고요 분위기 좋고 전반 적 좋았던것 같아요 
8,할아버지공장,서울 성동구 성수이로7가길 9,3.3,분위기 좋음 
9,쎈느,서울 성동구 연무장5길 20,3.7,
10,쎈느,서울 성동구 연무장5길 20,3.7,괜찮습니다 
11,쎈느,서울 성동구 연무장5길 20,3.7,공간 넓어서 카페 자리 없을 때 곳 모든 것 평범 
12,어니언컴퍼니,서울 성동구 아차산로9길 8 1,2층,3.5
13,어니언컴퍼니,서울 성동구 아차산로9길 8 1,2층,3.5
14,어니언컴퍼니,서울 성동구 아차산로9길 8 1,2층,3.5
15,성수족발,서울 성동구 아차산로7길 7 1층,3.3,주방 장 또는 사장 님 아니면 모든 재료 예전 그 맛 절대 아니네요 가끔 포장 족발 맛 크기 고기 질 너무 퍽퍽 모두 변한거 같아요 이 젠 못 동네 시장 족발 질감 요 저만 그런 건가 밑 다른 분 리뷰 맛 변했다고 분 있네요 ㅎ 하나 더 추가 늘 마늘 상추 판매 가격 너 무적 포장 상추 한여름 아닌데 너무 너무 수고 
16,성수족발,서울 성동구 아차산로7길 7 1층,3.3,맛 도리 족발 여 기여 만해 급 아닙니다 사이드 메뉴 없는게 아쉬워요 하지만 그래서 맛집 아닐까 
17,성수족발,서울 성동구 아차산로7길 7 1층,3.3,맛있지만 3 급 임팩트 인 
18,왕십리조개창고,서울 성동구 왕십리로 331 경진빌딩 지하1층,3.1,괜찮아요 
19,왕십리조개창고,서울 성동구 왕십리로 331 경진빌딩 지하1층,3.1,매장 굉장히 깔끔하고 쾌적했어요 조개 고기 퀄리티 좋아서 만족했던 맛집 ㅎㅎ 가성 비 괜찮아서 다음 친구 들 데리 오기 괜찮을 것 같아요 맛집 추천 
20,왕십리조개창고,서울 성동구 왕십리로 331 경진빌딩 지하1층,3.1,저번 주 서울 SNS 핫 조개 구이 맛집 만족스러워요 직원 분들 엄청 친절하고 소고기 돼지고기 무한리필 있다니 이 가격 가성 비 이만 곳 없다고 습 치즈 퐁듀 콘치 즈 짱 ♡♡ 
21,땅코참숯구이 본점,서울 성동구 행당로17길 26 1층,4.2,목살 맛있어요 
22,땅코참숯구이 본점,서울 성동구 행당로17길 26 1층,4.2,고기 시절 목 살맛 처음 준 곳 지금 그때 메리트 없음 
23,땅코참숯구이 본점,서울 성동구 행당로17길 26 1층,4.2,서울 3 목살 맛집 중 육즙 살발 목살 입니다 참숯 너무 특히 버섯 구이 비싼 송이 육즙 가득한 새 송이버섯 통구이 입니다 
24,할머니의레시피,서울 성동구 서울숲2길 44-12,3.4,맛있습니다 쌈밥 젓갈 모두 굿굿굿 
25,할머니의레시피,서울 성동구 서울숲2길 44-12,3.4,
26,할머니의레시피,서울 성동구 서울숲2길 44-12,3.4,
27,대성갈비,서울 성동구 서울숲4길 27,3.1,지금 식당 서비스 중 가장 최악 바뻐서 일 싫은지 그냥 최소 다섯 번은 옵니다 일단 직원 들 대답 안 패 시브 4 인분 때 불판 한번 안 암튼 뭐 주문 직원 님 눈치 봐야힙니 맛 그냥 평범하고 고기 위 뼈 고기만 갈비살 살 있는 부분 갈비살 아닙니다 맛있게 일행 모두 기분 상해 하 이집 가세 
28,대성갈비,서울 성동구 서울숲4길 27,3.1,사람 많은 이유 납득 곳 게장 양념 정말 맛있어요 
29,대성갈비,서울 성동구 서울숲4길 27,3.1,최애 돼지 갋비집 달 완벽 
30,인생한우,서울 성동구 마장로31길 43 영지빌딩 2층,3.2,제로 페이 상품권 등 가정 하 5 점 성비 좋고고 기도 좋고 
31,인생한우,서울 성동구 마장로31길 43 영지빌딩 2층,3.2,
32,인생한우,서울 성동구 마장로31길 43 영지빌딩 2층,3.2,티 안심 육 사시미 모두 맛있게 서비스 육 회도 훌륭 냉면 된장 찌게 맛있네요 상차림 비 4천원 
33,호호식당 성수동점,서울 성동구 서울숲4길 25,3.1,쿰쿰한 걸레 냄새 상태 이상하다고 홀 직원 분 주방 정상 다시 그냥 ㅎ 카이센동 분 들 참고 
34,호호식당 성수동점,서울 성동구 서울숲4길 25,3.1,최악 직원 불친절 연어 크기 및 두께 진짜 어이 없을 정도 
35,호호식당 성수동점,서울 성동구 서울숲4길 25,3.1,여기 연어 뱃살 밥 진짜 두툼 맛있어요 때 입 처음 땐 밥 다른 메뉴 이 젠 따로 한 개 씩 정도 우동 뭐 특별할까 이랬는데 간이 딱 좋아서 진짜 맛있게 직원 분들 상냥하셔요 
36,성수명당,서울 성동구 연무장19길 10 1층,4.2,타임 당 대부분 좌석 예약 최고 단점 이 것 때문 앞 줄 많을 수 없음 줄 서서 정도 아님 예약 함 
37,성수명당,서울 성동구 연무장19길 10 1층,4.2,1시 오픈 1시 예약 음식 좀 많이 40분 정도 첫 음식 로 제 파스타 너무 오코노미야키 무난 히 참치 김밥 평범했고 차돌박이 우동 제일 괜찮았어요 솔직히 왜 이렇게 유명하고 사람 많은지 맛 다시 방문 것 같아요 
38,성수명당,서울 성동구 연무장19길 10 1층,4.2,제일 비싼 스테이크 좀 아쉬웠지만 오 코 노모 키 차돌박이 우동 맛있었습니다 완전 골목 유일하게 불 집 자부심 
39,스시도쿠,서울 성동구 왕십리광장로 6,4.0,생선 두 툼 데 안 비리 부드럽고 고소해요 싱싱한게 직원 분들 에너지 친절하세요 왕십리 종종 왜 지금 줄 서서 이해 
40,스시도쿠,서울 성동구 왕십리광장로 6,4.0,때 메뉴판 가격 근데 양은 더 갈이 유가 이 젠 
41,스시도쿠,서울 성동구 왕십리광장로 6,4.0,너무 맛있게 싱싱하고 맛있어요 왕십리 맛집 추천 
42,대림창고,서울 성동구 성수이로 78,3.0,최악 
43,대림창고,서울 성동구 성수이로 78,3.0,아메리카노 2 개 30분 꼬박 빵맛 그냥 저 냥 처음 궁금해서 한번 쯤 곳 일 뿐 재 방문 안 것 같아요 
44,대림창고,서울 성동구 성수이로 78,3.0,진짜 ㅡㅡ 직원 표정 열 교육 
45,소바식당 성수점,서울 성동구 연무장7가길 6 1층,2.9,가격 소바 좀 있지만 그래도 맛있어요 소바 집 중 제일 맛있어요 
46,소바식당 성수점,서울 성동구 연무장7가길 6 1층,2.9,가격 대가 묵직한 소바 맛집 입니다 😕 
