,name,addr,grade,review
0,락희안 목동점,서울 양천구 오목로 330 2 3층,3.9,짜장 맛있어요 
1,락희안 목동점,서울 양천구 오목로 330 2 3층,3.9,음식 깔끔하고 맛있어요 
2,락희안 목동점,서울 양천구 오목로 330 2 3층,3.9,바 로우 맛있어서 종종 3 층 식사 방문 계속 거실 찬 바람 문 다시 그래서 난방 안 음식 너무 빨리 맛 겨울 이면 2 층 식사 추천 3 층 따뜻한 다른데 가세 
3,더아리엘 목동점,서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호,3.2,
4,더아리엘 목동점,서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호,3.2,평일 성비 짱짱 
5,더아리엘 목동점,서울 양천구 오목로 300 현대하이페리온2 206동 지하1층 109~115호,3.2,전화 직원 너무 불친절해요 많은걸 것 아닌데 기본 적 건 좀 같아요 
6,토다이U 목동점,서울 양천구 목동동로 401 부영그린타운2차 지하1층 101호,2.5,오후 1시 10분 전화 다섯 번 안 식사 권 구매 취소 망해가는 곳 망해가는 이유 있구나 
7,토다이U 목동점,서울 양천구 목동동로 401 부영그린타운2차 지하1층 101호,2.5,
8,토다이U 목동점,서울 양천구 목동동로 401 부영그린타운2차 지하1층 101호,2.5,평일 런치 34 500원 인데 육류 돼지 불 백 치킨 몇 쪼가리 스테이크 30분 만 배식 길게 20 여분 야함 그리고 30분 종안 그릴 청소 안함 그나마 돼지 목살 스테이크 임 요즘 고기 흔한 세상 ㅋ 초밥 조차 줄 있기 사람 수 만큼 음식 조달 하 손님 무료 급식 
9,일미락 목동본점,서울 양천구 목동동로 226-16 1층,3.6,여자 5 명 19만 5천 원 어치 먹음 우리 
10,일미락 목동본점,서울 양천구 목동동로 226-16 1층,3.6,목동 제일 맛있는 고 기 집 가격 있는 만큼 밑반찬 정말 반찬 다 쉐프 분 최고 
11,일미락 목동본점,서울 양천구 목동동로 226-16 1층,3.6,가격 좀 맛 이 질 포기 못 ㅠㅠ 아직도 입 안 트러플 향 같아요 못 ㅠㅠ 
12,대박곱창 본점,서울 양천구 오목로 170 태남프라자 1층,4.5,
13,대박곱창 본점,서울 양천구 오목로 170 태남프라자 1층,4.5,중학생 때 10년 이상 애용 맛집 ㅎㅎ 배고팠던 그 시절 항상 저 소울메이트 사장 님 10년 동안 항상 친절하지 적 없었고 양은 뭐 말 것 없슴니다앞 오래오래 신정동 장사 좋겠다는 바램 입니다 
14,대박곱창 본점,서울 양천구 오목로 170 태남프라자 1층,4.5,우리 삼 형제 온 가족 정말 말로 1일 분 야채 곱창 양은 정말 맛 괜찮아 다 밥 볶음밥 꼭 저희 뒷 테이블 2 인분 산더미 얼굴 좀 걱정스러 ㅋㅋ 막창 다 너무 맛있다고 제 일 먼저 닭발 좀 많이 매워요 매콤 한 거 좋아하시는 분 괜찮을것 같아요 물론 닭발 다 초등 3 명 남자 아이 아빠 엄마 이렇게 다음 막창 2 인분 야채 곱창 1 인분 이렇게 사장 님 너무 친절하십니다 이 것 저 것 오래 배 아플 정도 아이 들 별 점 5 개 이렇게 추천 
15,삿뽀로 목동점,서울 양천구 목동동로 189 지하1층 102호,2.4,
16,삿뽀로 목동점,서울 양천구 목동동로 189 지하1층 102호,2.4,서비스 위생 별로 기념일 가지 마시기 테이블 물이 물 좀 달라 하니 한숨 말투 짜증 있습니다 일 싫으시면 돈 저녁 사람 들 기분 남자 화장실 손가락 세 마디 크기 만 바퀴벌레 있습니다 
17,삿뽀로 목동점,서울 양천구 목동동로 189 지하1층 102호,2.4,아기 백일 가족 끼리 센스 있는 직원 맛있는 음식 정말 또 방문 회 케이크 번창 
18,양천뼈다귀 본점,서울 양천구 목동동로 258,3.7,오전 10시 반에 주문 아무 안 좀 언제 오히려 손님 직원 들 밥 있으니 말 너무 어이없네요 주문 때 먼저 직원 들 식사 달라 양해 말 없이 그냥 손님 일 사람 들 다 이상해요 ㅜㅜㅜ 안 같습니다 
19,양천뼈다귀 본점,서울 양천구 목동동로 258,3.7,근처 다른 감자탕 집 없기에 자주 이용 함 맛 그냥 저 평타 편 벨 반응 없을 때 종종 있는 편 서빙 분 눈 주문 더 수월함 근처 경쟁 업체 없다 친절 기대하기는 힘듦 오목교역 목동역 부근 맛있는 감자탕 집 하나 새로 오픈 좋겠음 
20,양천뼈다귀 본점,서울 양천구 목동동로 258,3.7,24시 라는점이 어쩔 수없이 단점 상쇄 시킴 음식 맛 좋으나 주 문 누락 벨 척 안 이모 님 개선 필요 
21,대가,서울 양천구 신정중앙로 66,3.4,
22,대가,서울 양천구 신정중앙로 66,3.4,24시간 운영 매장 코로나 인해 단축 영업 있어요 보통 방문 삼겹살 주문 가격 16000원 으로 기본 반찬 숫자 홀 빙하 시 분 들 엄청 친절한 정도 아니고 보통 정도 그래도 근처 고기 맛집 중 하나 입니다 
23,대가,서울 양천구 신정중앙로 66,3.4,2~3 번 대가 소고기 보고 좋은 기억 좋은 고기 승부 하 는걸 사람 모시 고투 뿔 한우 데넘 퍽퍽 너무 민망했습니다 전담 분 자부심 중요하지만 입장 조정 이만 이하 암튼 오늘 별로 다음 좋을거라 기대하고 도전 관리자 대처 문제 대한 얘기 입당 참고 밸 없지만 걍 돼지갈비 갈비 맛있었습니다 소고기 
24,마실,서울 양천구 목동동로 55 신정동밀레니엄프라자 6층,3.9,부모님 모시 ㆍ 정갈하니 맛있다고 좋아하셨어요 ㆍ 
25,마실,서울 양천구 목동동로 55 신정동밀레니엄프라자 6층,3.9,블로그 알바 들 가요 장소 더럽고 쿰쿰한 냄새 파리 모기 바닥 뭐 계속 어른 들 모시 창피해 
