,name,addr,grade,review
0,또순이네,서울 영등포구 선유로47길 16,3.1,ㅈㄴ 시끄럽고 벨 하나 없고 그냥 만취 아저씨 마냥 고래고래 소리 추천 
1,또순이네,서울 영등포구 선유로47길 16,3.1,된장찌개 맛집 
2,또순이네,서울 영등포구 선유로47길 16,3.1,매 주먹 맛 
3,코끼리베이글,서울 영등포구 선유로 176 수화공단 1층 60호,3.0,주문 분 인성 최악 서비스 업종 일 친절 안바 요 기분 나쁘게 재주 가지 
4,코끼리베이글,서울 영등포구 선유로 176 수화공단 1층 60호,3.0,
5,코끼리베이글,서울 영등포구 선유로 176 수화공단 1층 60호,3.0,
6,대한옥,서울 영등포구 영등포로51길 6,3.3,맛있습니다 분위기 옛날 너무 좋았습니다 전 소면 별로 
7,대한옥,서울 영등포구 영등포로51길 6,3.3,비싸고 맛없고 양 꼬리 수육 질 기고 소면 그닥 맛있진 자리 불편하고 웬만하면 안좋은 후기 안 너무 돈 아까웠음 
8,대한옥,서울 영등포구 영등포로51길 6,3.3,20년 단골 예전 중 그릇 너무 놀람 4 명 때 우와 그 감동 눈치 게임 변질 부추 간장 소스 내 고프다 소면 여름 날 것 같다 
9,송죽장,서울 영등포구 문래로 203,2.6,업력 오래되었다고 맛집 아니란 걸 집 이제 그만 속 자 어디 서나 발견 수 있는 그저 그런 중국음식 집 국도 주변 있는 짬뽕 전문점 들 훨씬 낫다 생각 함 
10,송죽장,서울 영등포구 문래로 203,2.6,불친절 카운터 빨리 소리 분 못 맛 별로 여기 맛있는 중식 집 많아서 굳이 다시 안 
11,송죽장,서울 영등포구 문래로 203,2.6,이렇게 불친절할만큼 맛있는 곳 아닌데 어이 없어서 웃음 ㅋㅋㅋㅋ 너무 어이 없음 ㅋㅋㅋㅋ 
12,카페1953위드오드리,서울 영등포구 경인로77가길 12 1층,4.0,
13,카페1953위드오드리,서울 영등포구 경인로77가길 12 1층,4.0,왜 점수 높은지 이해 
