,name,addr,grade,review
0,용마해장국,서울 중랑구 용마공원로5길 8,4.3,백종원 3 대 천왕 출연 식당 중 진짜 있음 강추 
1,용마해장국,서울 중랑구 용마공원로5길 8,4.3,최고 단점 우리 집 멀다는 것 뿐 
2,용마해장국,서울 중랑구 용마공원로5길 8,4.3,
3,한국횟집,서울 중랑구 중랑역로 34,3.8,유투버 광고 속 았 다 
4,한국횟집,서울 중랑구 중랑역로 34,3.8,
5,한국횟집,서울 중랑구 중랑역로 34,3.8,백 번 양보 해도 회 푸석푸석하고 맛 없고 정말 머니 아까워서 한번 
6,소담촌 상봉점,서울 중랑구 망우로 328 시네마시티 15층 1501호,2.9,
7,소담촌 상봉점,서울 중랑구 망우로 328 시네마시티 15층 1501호,2.9,
8,소담촌 상봉점,서울 중랑구 망우로 328 시네마시티 15층 1501호,2.9,귀찮아서 엔간해서 리뷰 안 편 안 없네요 개인 앞 접시 월남쌈 같이 접시 임 넓은 그릇 샤브 소스 그릇 너무 야채 그릇 너무 얕아서 몇번 함 휴일 그런지 바 좁은데 사람 들 미어 바 깨끗하지 시간제 공지 없는데 1시간 좀 있는데도 여사 장이 독촉 함 바로 레토르트 음식점 아니고 계속 구조 도 후식 카페 돈 계산 다 자리 옯겨 카페 사람 미어 생각 안 요 식당 사람 그렇게 장사 왜 어르신 들 계셨는데 무 개념 사장 때매 기분 대단히 언짢네요 
9,이주소곱창,서울 중랑구 봉우재로33길 34,4.0,곱 맛있는데 대창 염통 그냥 
10,이주소곱창,서울 중랑구 봉우재로33길 34,4.0,가격 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 추가 주문 시 2 인분 이상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 휴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
11,이주소곱창,서울 중랑구 봉우재로33길 34,4.0,
