,name,addr,grade,review
0,스윗솔트,서울 강동구 상암로 286,4.6,스윗 솔트 에그베네딕트 너무 맛있어 요강 츄  아보카도 햄버거 너무 맛 또  언제나 맛있고 경치 좋고 남녀 노소 뉴 있는 곳 주차 좋아요 
1,백년화편,서울 강동구 양재대로81길 18,4.3,                 떡 맛있다 하지만 친지 들 위 명절 선물 글쎄 택배 예약 주 문 량 많아서 그런지 배송 접수 상당히 많은 인적 오류 실수 발생 집 근처 직접 정도 정도 추천 하나 대규모 발송 경우 괜히 지인 들 선물 안 못 경우 수 있다 그리고 가능하면 비싸도   단   단 선물 세트 생각 떡 얇아서 사람 하여금 빈정 살 수 있기 때문 아쉽게도 대량 주문 택배 비 건 별로 발생 변질 예방 위 별도 스티로폼 포장 추가 금 내야 떡 가격 안된다 대목 최 대치 이윤 위 서비스 대한 개선 필요하다  환궁 하 자마자 중전 선물 크게 기뻐하였습니다 명인 대한민국   대 떡집 엄청 좋아하였으며 궐내 모든 사람 들 맛있게 아침 일찍 접근성 좋은 곳 벌써 등 냉큼 과인 한 조각 옛날 할머니 맛 감개 무량   카운터 계 신분 친절하시더군요 
2,갓잇 올림픽공원점,서울 강동구 성안로 14 1층,4.0,맛 좋고 다 좋은데 음식 외로 화장실 너무 아쉬워요         갓 역시 맛있습니다 여러 지점 맛 차이 거의 없고 올림픽 공 원점 웨이팅 짧은 편이 좋아요 아 그리고 또띠아 더 달라 더 
3,로니로티 천호점,서울 강동구 천호대로 1027 2층,4.0,        서울 이런 곳 있었나 정도 비싸지 맛있는 스테이크 함께 샐러드 특히 맛있었습니다 
4,버섯잔치집,서울 강동구 성내로 52 성원빌딩 1층,4.0,    여기 진짜 동네 맛집 임 버섯 물 비치 뷔페 식 반찬 맛있음 개인 적 낙지 좋아하시면 낙지 꼭 추가 강추 나 버섯 매니아 뜨끈한 국물 원 없이 여기    밥 있고 칼국수 있고 뷔페 식 원하는만큼 후식 커피 자판기 퍼먹는 추억 아이스크림 있음     너무 맛있고 풍 성하고 다양한 버섯 있어서 좋아요 
5,강동반상,서울 강동구 상일로6길 39 강동타워 지하1층,3.0,진짜 가성 비 맛집 자주 곳 입니다  기본 반상 반찬 들 모두 제 좋아하는 위주 너무 좋았어요 직원 들 친절했고 앞 접시 집게 가위 등 테이블 있어서 편하고 좋았어요  후기 보고 쫄 있었는데 매우 평범했습니다    
6,차이나린찐,서울 강동구 강동대로 217 인텍스파크뷰 1층,2.5,  점도 아깝네요  바삭 탕수육 맛있고 삼선짬뽕 자극 적 자연 맛     불맛 거의 남 그냥 칼칼 해물 볶음밥 해물 그냥 위 직원 서비스 교육 절대 적 시급함  탕수육 짜장 짬뽕 맛있었어요 부모님 맛있다고 
7,브랜뉴하이몬드,서울 강동구 천호옛14길 11 1,2층,           
8,수라연,서울 강동구 강동대로 143-64 태창타워 2층,2.2,  명 예약 안      근방 있는 한정식 집 손님 때 좋아요 
9,풍년상회쪽갈비,서울 강동구 천호옛14길 23-6,4.5,    쪽 갈비 첫 번 째 곳 다른 곳 다르게 인위 적 양념 맛 안나 맛있게  워낙 유명해서 설명 생략   
10,이한진숙성회,서울 강동구 구천면로 247-1 2층,4.3,  점수 기준 표     개 일부러 간다   개 맛있다 자주 만하   개 적당히 때 한번 씩 간다   개 재 방문 그닥   개 이 음식 컵라면 최근 숙성 회 중 최고 매운탕 꽤 맛있어서 소주 추가 삭제 가능 자리 좁고 생 와사비 없다는게 그나마 단점      천호동 맛집 
11,긴자 올림픽공원점,서울 강동구 강동대로 223,3.1,모임 괜찮고 구성 좋아요 친절합니다  코스 구성 엄청 알차고 좋아요  코스 그런지 알찬 구성 이 가격 룸 수 있다니 예약 전화 서빙 언니 사진 너무 맛 서비스 완전 만족 어째서 후기 별 론 이해 불가 물론 여름 파리 너무 많긴 한 데 친절 
12,온전히,서울 강동구 천호대로176길 10 상미빌딩 1층,3.9,무난 초밥 굳이 오지 후회  간만 초밥 방문 여전히 맛 사장 님 정성 가족 즐거운 점심시간 가성 비 좋고 특히 간장 새우 초밥 제 기 젤루 맛 요 사장 님 자주     
13,길조,서울 강동구 천호대로 1173,3.5,룸 따로 있어서 가족 좋았어요 룸 히터 너무 따뜻해서 서빙 직원 여자 분 너무 친절하세요 점심때 거의 만석 주차 자리 없고 차만 관리 주차 하란 식 그건 아쉬웠어요  보통 음식 사진 너무 사진 찍 생각 못 카운터 앞 손님 들 춥다 해도 원래 건물 내내 너무 추워서 빨리 생각 못 음식 한마디          가성 비 대비 안 예정 임 맛 없는데 방송 이해 안감 맛없다고 개인 적 의견 이구 친절 도 재 방문 의사 전혀 없음 
14,신흥정육식당,서울 강동구 양재대로89길 16,3.9,    기 대안 고기 정말 맛있었어요 냉면 찌    고기 된장 밥 맛있다 
15,스테이지28,서울 강동구 아리수로61길 105 1층,3.5,태권   함께 식사 몇 년 간 계속 있         
16,미드데이썬,서울 강동구 양재대로91나길 55 1층 101호,4.2,근래 수 플레 중 젤 맛있었어요 평일 애매한 시간 방문 사람 없고 아늑하니 좋았습니다  나쁘지 팬케익 오래   분 그리고 팬케익 같이 먹기 아아 좀 맛없고 연해   아쉬움  플레인 수플레 정말 맛있고 카페 분위기 아늑해서 좋아요 제 때   팀 있어서 한적했을 텐데 사장 님 저희 인사 안 해주시 때 인사 안 궁금해서 뭐 제 말 못   번 말씀 답 
17,더식당,서울 강동구 천호대로157길 24 2층,4.2,이 가격 이 정도 대단하네요 사장 님  맛있고 친절하셔요  가성 비 조아요 둘이서   인 세트 피자 쭈꾸미 칼국수 배 불리 근데 배부른 걸 원 치 품 추천 배불러 짜증나   
18,닭집애 성내점,서울 강동구 천호옛14길 35 1층 101호,4.1,  년  월   일 닭집 애로 종목 변경 데카 망 안동찜닭 반 마리 맛있당    역쉬 반 마리 닭칼국수 근처 닭칼국수 맛집 있어서 어떤 차별 화가 있으려나 역쉬 닭 반 마리 통    국물 데카 망일 때 후기 튀김 예술 요 느끼함이 없고 깔끔하게 바삭 함 있네요 단 튀김 냄새 온몸     맛있는거 이 정돈 감수         문 영업 종료 닭칼국수 집    정말 자주 맛있어요 튀김 안 좋아하는 엄마 좋아하는 집 식사 시간 피해 가야 혼잡하지   년 이상 애용 식당 강동 텐동 집 거의 없어서 정말 아꼈더랬다 오랜 만 다시 방문 데카 망은 개망 튀김 눅눅하고 속 미식 거리 밥 양념 양 과 너무 때 것 같다 너무 아쉽다 그래도 강동 텐동 땐 선택 없긴 함 
19,와고참숯갈비,서울 강동구 올림픽로70길 47-7 1층,4.4,뼈 삼겹 갈비 반찬 들 다 맛있습니다 손님 들 많지만 열심히 직원 들 멋있습니다  뼈삼셥 맛있고 김치 반찬 들 맛있어요 좁은 테이블 간격 시끄럽지만   맛있어서 또  맛 있는데 삼겹살 원래 비계 부위 좋아해서 비계 좀 많은 부위 부탁 직원 사장   야 그런거 얘기 어떡해 손님 요구 다   엄청 직원 심지어 다 안되면 그냥 사장 님 좀 힘들거 같다 해도 왜 직원 화 풀이 반찬 리필 그런 거도 사장 엄청 직원 하나 더 못 코로나 각자 쌈장 하나 씩 달라 그랬더니 또 직원 구 럼 이래저래 직원 들 불쌍하고 그랬어요   가게 엄청 잘 사장 님 좀 너무 인색하게 다 손님 관련 얘기 좀    불편했어요 
20,꿀꿀진순대국,서울 강동구 양재대로103길 70 1층 101,102호,           
