,name,addr,grade,review
0,다래함박스텍,서울 강북구 수유로 20-2,4.3,    두번째 방문 입니다 쯔양 님 함박스테이크 맛 사장 님 종업 원님 들 친절하셔요  맵 입장 매운 맛 참고 난 진라면 순 한 맛 좋아함 
1,제일분식,서울 강북구 숭인로 65-3 숭인시장,3.1,그냥 추억 맛  저 주변 맛집 얘기 걸 많이 봄     
2,진호횟집,서울 강북구 도봉로98길 33 1층,4.3,웨이팅 미쳤다  웨이팅 길 테이블 링 예약 수 있는 게 좋았어요 인터넷 예약 처음 회 두툼해 맛잇엇어 스끼다시 계속 회 가격 매운탕 포함 가격 가성 비 넘치게 배부르게  미쳤어요 진짜    대기 길긴 하지만 왜 긴지 이해 
3,대보명가 서울본점,서울 강북구 4.19로 69,3.4,맛남맛남  예약 아 그날 예약 확인 말로 시작 뭐 당연히 확인 야하는거 아님         저딴 불필요한말을 왜 해 손님 띠 꺼 워 하 느낌 그 뒤 대화 저런 식    식당 일 많이 고 전화 때 전화 자체 목소리 근데 전화하는내내 사람 기분 나쁘게 성격 문제 있어 한번 쯤 안    엄청 시끄러워요 
4,엘림들깨수제비칼국수,서울 강북구 삼각산로 67,4.4,사장 님 및 그 외 계산 친지 분들 친절 상 서빙 아주머니 들 친절 중하 맛 양 중상 이상 단골  맛  칼국수 기본 보리밥 수육 수육 엄청 차갑고 딱딱해서 칼국수 국물 맛있었다 이 원래 의도 수제비 메뉴 칼국수 판매 아쉬웠지만 크림 스프 정도 고소하고 부드러웠다 사람 없을 때 혼자 방문 직원 분 네이버 리뷰 수 있냐며 밥 계속 다 좀 부담스러웠다 
5,카페어니언 미아점,서울 강북구 솔매로50길 55 1층,4.4,커피 맛 좋고 넓고 분위기 좋고 일단 커피 맛 디저트 맛 기본 이상  근래 방문 카페 들 중 가장 친절해서 인상 깊었습니다 분위기 좋고 깔끔하고 음악 좋고 커피 빵 맛있었어요 본점 훨씬 좋은 것 같아요  맛 이 어요 
6,소담촌 수유점,서울 강북구 도봉로 388 테마빌딩 8층,3.6,손님 대하 태도 기복 있다는 말 공감 거기 샐러드 바 속도 너무 느려요 육 수바 양념 통 어디 없고 양파 통 들 한참 안 단호박 샐러드   분 이 빈통 손님 급 급해서 빈 테이블 최 우선 손님 육수  주차장 있고 맛 무난 야채 무한리필 자주   시 마감 저녁  시   분 이라고 라스트  시   분 이라고 안 그럼 라스트 따로 안내 해 문 마감 시간 다인     
7,대광어회집,서울 강북구 노해로 31,3.9,   맛있게 술 오른 상태 계산 특대 계산 워낙 인기 많아 전화해도 연결 안되니 근데 블로그 후기 저 같은 경우 꽤 있더라고요     만원 에 인생 쓴맛  회      스키 다시     친절      가격      스키 별 루지 두툼 회 좋아하 심 추천 회 맛있습니다 재 방문       실제 어제          저녁 방문        원 지불 방어 광어 중 사이즈 매운탕 술 일행   인     정산 내 역 별 첨 맛 기본 반찬 맛있고 계속 회 아주 괜찮고 비리지도 매운탕 생선 가득 수제비 사리 쫄깃했 무엇 국물 시원 칼칼했어요 가성 비 가격 절대 아니에요 친절 이모 님 모두 정말 친절하십니다 필요한 거 빨리 분위기 시끌벅적한 전형 적 횟집 테이블 간 거리 확보 자리 있고 안 자리 있습니다 위생 청소 상태 아주 좋다고는 못 의자 바닥 조금 끈 적 불쾌했네요 또한 층 반 화장실 횟집 관리 휴지통 꽉 차서 휴지 없고 그렇게 깨끗하진 사람 많으니 어쩔 수 없겠지요   점 이유 일행 두 명 식사 어제 밤 지금          점심시간 잠 못 정도 고생 있습니다 배 너무 아프고 장이 꼬인 느낌 네 요 총 네 명 중 이 두 명 무 조림 맛있게 저 포함 나머지 둘 손 안 다른 반찬 및 메인 회 매운탕 다 같이 정 황상 무 조림 때문 결론 근거 충분하다고 맛 서비스 다 좋으나 위생 상태 및 밑반찬 관리 상태 인해 재 방문 의사 없습니다 장 예민한 분들 참고 
8,장수마늘보쌈,서울 강북구 덕릉로 192,4.3,금요일 점심 아들 내외 함께 굴 보쌈 포함 특 주문 고기 어제 준 살이 딱딱하고 김치 맵 별로 메리트 없는 곳  잘 보쌈 집굴 보쌈 특 양은 성인 남자     인분 적당 김치 시원하고 맛있음 김치 속 은 좀 매운 냄새 안남     
9,소담촌 미아사거리점,서울 강북구 월계로 3 덕신빌딩 5층,4.1,        맛 평범한데 자리 좋은 곳 그런지 사람 정말 많아요 직원 분들 친절해서 좋았어요 다만 조용히 대화 수 있는 분위기 아니예요   예 약 좌석 좀 조용할 것 같긴 해 두 요 
