,name,addr,grade,review
0,강강술래 신림점,서울 관악구 남부순환로 1660 1층,2.8,자주 식당 오랜 만 고기 양 많이 놀랬습니다 고기 많이 얇아진것 같고 몇 점 없었습니다 또한 맛 이전 다르게 뻑뻑 많이 아쉬웠습니다  부모님 자주 식당 근데 점점 고기 줄 있어요     
1,정담은보쌈 신림점,서울 관악구 남부순환로 1661,4.2,    맛 그저 주차 시설 빠른 음식 제공 굳  친절하고 맛있어요 쌈 채소 싱싱 김치 맛있구요 보쌈 강추 
2,온정돈까스,서울 관악구 조원로 60 1층,2.3,느무 비리 냉동 봄      카운터 있는 사람 사장 같은데 너무 별루 손님 들 식사 있는데 계속 종업원 말 같은데 계속 짜증 밥 너무 별루 소스 머리카락 말 죄송하다는말도 없이 접시 나 입맛 안중 없는것 같았다 안 생각 
3,원조민속순대타운,서울 관악구 신림로59길 14 2,3층,           
4,복돈이부추삼겹살 사당본점,서울 관악구 남현1길 68-14 남현빌딩 1층,2.4,유명하니까 함 양념 부추 불량 식품 마냥 중독 성 읶음 대신 가격 반비례 고 기질 위생 눈 함  별 한개 도 아까워요 손님 반말 기본 다 눈치 팍팍 줌    고기 양도 오 바 위생 오 바 볶음밥   인분 어이없음 부추 너무 내 뭘 있는 볶음밥 미리 거 불판 대충 다 밥 차가 움 그래서 불 키 있으니까 아저씨 불 밥 차갑다고 일부러 킨거 제대로 안 또 함 그래서 밥 차갑다구요 일부러 그제야 감 다 배부른게 식당 오랜만 빡쳐서 내일 출근   차로 술 감 제발 가지 
5,아리차이 신림점,서울 관악구 신림동길 4 1층,4.0,맛 괜찮은데 직원 불친절  딤섬 제대로 입니다 그런데 요즘 코로나 유행 일시 적 마 발렛파킹 어떨까 요 그리고 카운터 중장 년 남자 분 전화 손님 계산 안 그럴거면 테이블 계산         딤섬 맛 생강 좀 달라 거 구채 교 안주 샤오롱바오 생강 생강 채 얼마 고객 요청 묵살 함 둘이서 식사   개 구채 교 군 만두 주 차요 원 갈수록 매너 없고 마스크 마스크 착용 있는데 창문 두 들 기고 그  초 도 안되는 시간 못 문 손잡이 그 동안 가격 주차 편해서 딱 싸구려 서비스  음식 맛 좋습니다 다만 애매한 서비스 음식 때 그냥 테이블 위 손님 배치 편 곳 이 상관 없지만 가격 대가 있는 이런 부분 신경 것 같습니다 
6,서울갈비 신림점,서울 관악구 남부순환로 1645,4.2,우삼겹 전체 적 맛 좋음 된장찌개 그냥 평범 수준 임 손님 없는 시간 방문 자리 많고 너무 좋았지만 불판 불 마자 바로 고기 주심 아니 이 게뭐 바로 고기 그걸 직원 이 걸 왜 고기 다시 올 리심 아니 불 올 라야 고기 굽 거기 거기 라며      하 심 짜증 쫌 그냥 먹음 그 다음 불 상태 우삼겹 구 정말 맛 좋았음 천천히 말함 아니 준비 음식 저리 파니 완전 별로 임 그냥 빨리 가라 느낌 팍 줌 요즘 맛있게 고기 서비스 좋은 곳 얼마나 많은데 하  항상 저녁 때 방문 점심시간 방문 직원 분들 손님 있는데 청소 그냥 그런 눈 매운 거 같이 온 일행 들 눈물 무슨 일인 주방 파 기 게로 있다고 너무 매워서 동안 계속 울 눈 아파서 생각 안 그래서 얼른 기분 안좋네요 점심시간 가지 손님 없을 때 브레이크 타임 것 들 손님 있을 때 뻔 뻔하게 계속 어이  바로 근처 웨이팅 항상 있네 생각 웨이팅 길 우 삽겹 무조건 소스 이 파채 딱 한 입 극락 된장찌개 꼭 달래 눈 달래 향 좀 나 찌 입니다 
7,디자이너리카페,서울 관악구 관천로 71-1 4층,3.8,아인 슈페 너 맛집  마이 영     
8,킷사서울,서울 관악구 남부순환로226길 31 2층,3.0,스키야키 진짜 맛있었어요 좀 느낌 있었지만 짐 맛있었습니다         
9,은행골 본점신관,서울 관악구 조원로 10-1 1층,3.2,이 날 참치 별로 연어 광어 굳  낱개 초밥 종류 별로 주문 음식 맛있었어요 미니 우동 목 축 이기 좋았습니다 다만 초밥 밥 알갱이 심하게 먹기 불편했어요 구슬 밥 같았습니다 그리고 점심식사 저녁 몸 너무 아파 다음 날 병원 피 검사 소변 검사 장 염증 반응 수 치가 높게 며칠 째 처방 약 계속 화장실 밥값 병원 비 더 몸 고생 한 게 너무 속상해서 매장 주의 부탁 한다는 환불 몇 환불 음식 재료 조금 더 신경 며칠 동안 많이 힘들었습니다  연어초밥 밥 엄청 질 초가 너무 연어 나쁘진 밥 때문 연어 맛 기억 안 취향 사람 좋아할 것 같은데 나 아니었음 그리고 매장 안 비린내가 심하게 남    환기 주 기적 
10,기절초풍왕순대,서울 관악구 봉천로62길 2 1,2층,           
