,name,addr,grade,review
0,송림식당,서울 광진구 자양번영로 79,3.3,    솔직히 이 가격 이면 이유 있나요  유명 식당 휴무 표시 좀 해 두시 네이버 안 구정 때 영업 직접 
1,송화산시도삭면 2호점,서울 광진구 아차산로30길 33,4.2,마라랑 별로 안 도삭 은 만하 그리고 면 식감 좋다 여태 딤섬 중 여기 젤 맛있다  도삭 진짜 존맛 탱 주 기적 함    번 재 방문 진리 일단 제일 추천 메뉴 쇼 마이 우육 빨간것 입니다 천하는건 밥류 다 너무 달 초딩 맛 이 나요 그리고 사진 있는 소룡포 만두 너무 느글거리 별로 결론 맛집 건 메뉴 때 후기 보고 우육 과 해산물 만두 류 최고    
2,신토불이떡볶이 본점,서울 광진구 자양로43길 42 1층,3.1,손님 중심 아니라 매장 편한대로 운영 너무 불쾌했어요 맛 특별함을 못  맛 없는건 아닌데 가성 비 너무   인 세트      원 인데시장떡볶이맛에 어묵 진짜 딱 두 개 계란 두 개 야 끼 만 반토막 거 같은거   개    원 퀄 냉동 핫도그 한개 차라리 밀 키트 집 해먹 게  떡볶이 좋아해서 많이 대체 뭐 맛있는지 왜 유명한지 하나    떡볶이 깊은 맛없이 그냥 맵 담 그것 중독 성 있게 달 그냥 매운 맛 단맛 밀떡 딱딱하고 간 안 떡 맛없음 만두 야 끼 만 그냥 사서 어차피 간 쎄서 맛 하나 안 바삭 식 눅눅해요 누구 야 끼 만 맛 안남 오뎅 오뎅 자체 맛있는데 굳이 두꺼운 오뎅 간 하나 안 이유 뭔 지 다른 가게 들 왜 얇은 오뎅 생각 핫도그 왜 유명한 이해 하나 안 그냥 눅눅하고 평범한 핫도그 계란 계란   인분 가격  천원 맛있으면 가격 이 정도 뭐 근데  천원 에 안 대박 이유 하나 씩 있던데 이유 진짜 그냥 유명해서 유명한 곳 듯 이렇게 리뷰 안 진짜 맛없어서 다 돈 아까워서 봄 
3,영미오리탕 군자점,서울 광진구 동일로60길 53 천수빌딩 1층,4.0,    말 필요없는 집 술 미나리  오리탕 들깨 맛 최고 
4,원조할아버지손두부,서울 광진구 자양로 324 1층,4.4,아차산 가볍게 등산 길 정말 맛있고 기분 좋게 한 끼   두부 진짜 고소해요    모 두부 순두부 모두 추천     또 갈래  가격 맛 친절하기까지 
5,이이요,서울 광진구 능동로32길 6,4.2,항상 웨이 팅 있어서 벼르 맛있어요      동네 늘 웨이 팅 하 곳 지인 왜 다른 지인 들 그 닥 안 동 네 주민 주 몇번 이해 안되긴 하지만 입맛 제각각 요 
6,하이디라오코리아 건대점,서울 광진구 능동로 110 2층,4.5,하이디 라오 비싸지만 제대로 느낌 훠궈 입니다 토마토 탕 새 우완 자 건희 소스 이렇게 정말 강추입 니드 쵝오  너무 맛있는데 솔직히 가격 너무 매콤   그리고 직원 분들 친절하시긴 한데 자잘한 실수 하 심 내 아닌거 안    뭔가 대규모 인사 이동 있었던 건가 일 익숙 치 사람 들 많은    한국말 전혀 못 직원 분 서빙 태블릿 중국어 좀 충격  가격 살인 함 둘이서  만원 은 기본 그래도 재료 신선도 친절 서비스 다 맘 듬 값어치 함   
7,멕시칼리,서울 광진구 능동로36길 181 1층 멕시칼리,4.7,    소고기 타코 맛있었지만 양 너무 비쌉니다     
8,서북면옥,서울 광진구 자양로 199-1,3.7,냉면 육수 맛있어요 저희 부모님 좋아하셔서 지방 자주 만둣국 맛있어요 아쉬운 점   인   주문 접시 만두 포함 안되는 점 아쉬워요      냉면      슬금슬금 보고 맛 전혀 기억 안나 네 
9,송화양꼬치,서울 광진구 동일로18길 70,4.0,        양 꼬치 안나 맛있었음 양 꼬치 양 갈비 바지락 볶음 진짜 개      밥 세 공기 수 있음 가지 튀김 
