,name,addr,grade,review
0,감동식당,서울 노원구 한글비석로47길 58 1층,4.9,엄청나게 많은 식당 들 이렇게 친절한 곳 처음 맛 감칠맛 맛있고 양도 짐 왜 카카오 맵 별 점     점 알 것 같은 곳  솔직하게 갈비찜 가격 괜찮아요 거기 다가 곤드레 밥 뭔가 건강하면서 맛깔 스러 움 그리고 사장 님 직원 들 때 있이 너무 친절함 전 고기 극락 하아 불교 신자 이 곳 천국  욕 사람 들   반경   키 내 근처 밥집 사장 거나   웨이 팅 밥 일부러 웨이 팅 목적 거나   인생 패배 자 왜 잘 남 시 셈 하 엠셍임    서비스 나발 애초 맛 원 탑    
1,강강술래 상계지점,서울 노원구 동일로 1628 1층,3.5,  점수 기준 표     개 일부러 간다   개 맛있다 자주 만하   개 적당히 때 한번 씩 간다   개 재 방문 그닥   개 이 음식 컵라면 이 동네 매장 깔끔하고 고기 자체 로만   개 적당한듯 소고기 그 값 곳 아니고 돼지 양념 갈비 먹기 적당  웬만한 강남 갈비 집 맛 반찬 모두 굿 입니다 똑같은 양 두 배 비싼 강남 양념 갈비 여기 짱  상계동 돼지갈비 및 반찬 집 없음 
2,로니로티 노원점,서울 노원구 상계로 63-7 청우빌딩 2층 201호,4.2,부채살 스테이크 샐러드 마르 게리 피자 대 존맛 진짜 마르 게리 따가 말 안되게 맛있고 스테이크 비주 대박 맛 맛있고 여기 뭐 기대 별로 안 그 런가 너무 만족해서 다른 메뉴 또 임  가성 비 괜찮은 맛 낫 베드  전 해물 필라프 젤 맛있었어요 
3,경복식당,서울 노원구 공릉로39길 10,4.7,너무 좋아요 지금 사람 들 많이 바쁘고 정신 없으실텐데도 사장 님 따님 사장 님 정말 친절하십니다 언제나 잘 한 상 기분 밥 너무 진밥 꼬들 사람 들 있던데 쌀 좀 오래 어르신 들 원래 많이 가게 일 수록 소화 잘 그렇게 집 들 있고 언제 시간 또  맛있게 잘 사장 님 정말 마음 따뜻한 분 듯 점심 온 오늘 종일 기분 좋네요  그 새   기 들 존   나 많네 쇼 사장 님 
4,라라브레드 공릉점,서울 노원구 공릉로41길 32,3.9,빵 들 다 맛있더라구요 조리 음식 들 간이 세고 금액 비 맛 직원 분들 왜 들 그 리하나 불친절하고 짜증 가뜩이나 협 소한 데 불편함이 가중 서체 있으니 천천히 꼭꼭 식      파스타 디저트 모두 맛있는 노원 공릉 맛집 이   층 테라스 자리 자리 널널 식사 느낌 브런치 특히 파스타 류 맛있어요 이번 새로 딜 크림 연어 파스타 완전 추천 치아바타 주문 소스 굿 
5,신가네칼국수 노원본점,서울 노원구 공릉로59나길 78-14 1층,4.2,맛남  칼국수 파전 환상 맛있었어요 깔끔하구  들깨 칼국수 대박 입니다 일단 번 
6,소담촌 노원역점,서울 노원구 상계로 90 마블러스1 2층,3.6,합리 적 가격 무한 리필 채소 들 그리고 공간 좀 협소하 분위기 나쁘지 공간 좁은데 로봇 서빙 하니 조금 복잡한 있으나 불편할 정도 아니고 고기 때 상태 조금씩 그렇게 가족 들 가기 좋은 식당 추천  점심식사  손님 카운터 아무 없어서 아무런 응대 못 뻘쭘 하 한참 있었습니다 대기 번호 표 대기 나중 손님 들 먼저 무슨 경우 직원 소통 안되서 사과 한마디 없네요 메뉴 주문 안 메뉴판 안 저희 직원 더 기분 좋게 기분 
7,닭한마리 공릉본점,서울 노원구 동일로 1020,4.0,진짜 맛있고 엄청 친절하세요         
8,땅코참숯구이 노원점,서울 노원구 노해로85길 15-5,4.6,맛있었고 메뉴 자체 가성 비 좋다고 회전 률 좋아서 빨리 입장 직원 들 전부 친절하시고 좋았구요 근데 돼지껍데기 타 가게 다르게 쫄깃 식 없고 너무 딱딱하더라구요 모양 같이 온 일행 돼지껍데기 보고 신기하다더라구요  여기 화포 식당 맛있어요 사랑 해 목살목살목살목살  제발 꼭 가세 방문 때 감탄   직원 분들 친절하고 고기 질도 좋고 진짜 부드러워요 인생 돼지고기 집     주변 사람 들 왜 노원 땅코 땅코    
9,제일콩집,서울 노원구 동일로174길 37-8,3.7,이 청국장  콩국수 청국장 두부 찌개 고추 만두 최 고  맛      가격     친절    아줌마 들 텃세 있나 많이 옛날 집밥 느낌 입니다 특히 고추 튀각 정말 할머니 굿 입니다 직접 재 방문 의사      
10,크래버대게나라 노원점,서울 노원구 한글비석로 326 1층,4.0,결혼 절친 신랑 맛있는 식사 가격 맛 맛있게  서비스 맛 다 좋았습니다  연말 외식 가족 들 맛있게 식사 가격 후 덜덜 하 번 씩 기분 거 것 같아요 
