,name,addr,grade,review
0,어머니대성집,서울 동대문구 왕산로11길 4,3.4,유니크 근데 웨이팅 가격 김치 맛 아쉽네요         
1,나정순할매쭈꾸미,서울 동대문구 무학로 144,4.0,    그램      원  하 개맛 있네용 한데 신 전 떡볶이 매운 맛 마 성의 매운 맛 단 단     
2,육전식당 본점,서울 동대문구 난계로30길 16,4.0,고기 다 볶음밥 필수  비싼 가격 때문 자주 못 늘 행복한 식사 삼겹살 목살 둘 다 육즙 가득하고 맛있습니다 평소 삼겹살 좀 더 선호 편입 니 찬 들 소스 등 맛있었습니다 명 이 나물 따로 추가 것 의아 수도 있으나 양 매우 많이 주시 추천 마무리 볶음밥 좋았습니다 웨이 팅 장소 있고 고기 다 때문 서비스 측면 만족스러웠습니다       맛집       유쾌 재 방문 의사 있음       무난       별로 재 방문 의사 없음       최악     
3,혜성칼국수,서울 동대문구 왕산로 247-1,3.6,그냥 맹맹했어요 면맛 강한 느낌  맛있어요  김치 닭칼국수 진심 존맛 탱 
4,은하곱창,서울 동대문구 전농로15길 22,3.7,곱창전골 양도 많고 맛있어요 당면 많이 엄청 탱글탱글했고 볶음밥 맛있어서                  소주 곱창전골  생각 엄청 간이 슴슴해 제 생각 맛 달라 조금 당황    그리고 소스 숙성 술맛 이 저 마늘 장 곱창 신선하고 냄새 안나 
5,성천막국수,서울 동대문구 답십리로48나길 2 1층,4.2,평냉 크게 안 좋아해서 비빔 비빔국수 맛 나쁘지 고기 깔끔해요 양은 가격         원래 기존 단골 들 노출 싫다 성시경 씨 나빠요  이 곳   비빔 막국수 수육 처음 방문 때 대로 변 있는 좁고 낡은 손님 너무 많아서 대 기 시간 길었지만 기대했던 국수 전쟁   하나   정도 슴슴 맛 다음 오지 생각 그렇게 번 국수 난 뒤 이상하게 가끔 씩 이   집 비빔 막국수 생각 그래서 가게 신기한 국숫집 입니다 초딩 입맛 분 비 추천 할배 입맛 분 들 추천 
6,일미간장게장 본점,서울 동대문구 장한로24길 7,2.9,일미 간장게장 존맛 디 별 점 무슨 일이 졍      여기 맛있는데 별 점 왜 이렇게 아작 났쥬 
7,영화장,서울 동대문구 휘경로 3-8,3.2,    볶음밥 정말 맛있어요  배달 없이 매장 장사 함 매장 음식   요리 를 기분 배달 중국집 제공 흔한 맛 음식 아닌   요리 
8,광주식당,서울 동대문구 경동시장로2길 49-4,3.5,청국장 맛있음 제육 볶음 맛없음  밥맛 좋네요 새로 한 밥 가격 대비 훌륭합니다  시 장통 허름 집 늘 음식 뭔가 새롭다 이 맛 변치 
9,원조홍릉각,서울 동대문구 약령시로 90,3.2,짜장면 탑 급  예전 몇번 곳 안 그래도 좁고 지저분한데 가격 비싸고 맛 보통 게다가 이제 불친절하기까지 위생 친절 분위기 모두 최악 손님 자기 들 위주 장사 곳 기분 잡 안 간다  밑 몇몇 덧글 달리 친절하셨다 육미 간짜장 고기 튀김 다 
