,name,addr,grade,review
0,피오니 홍대점,서울 마포구 독막로7길 51 1층,3.8,딸기 빙수 말 뭐해 살살 얼음     이용 시간  시간 제한 있는 거 안 거 같은데 주문 다 결제 찰나  시간 제한 있다고 말씀 당황 카운터 이용 시간 제한 있다고 주문 하 사람 입장 메뉴 보지 공 지 문구 누가 하나 하나 다 주문 때 미리 공지 좋겠어요 케이크 빙수 맛있고 디카 페인 커피  케이크 맛 
1,어반플랜트 합정,서울 마포구 독막로4길 3 1~3층,4.2,친구 자주 카페 임 커피 부드러운 편이 좋음  겨울 푸릇푸릇해 기분 절로     
2,바다회사랑,서울 마포구 동교로27길 60 1층,3.2,도톰해서 맛 바다 회사 미리 전화 주문 포장 웨이 팅 없이 수 있어서 좋아요           방문 방어 맛있고 두꺼웠으나 웨이팅  시간 이나 너무 추웠어요 발가락 감각 없을 정도    바람 좋았을 것 같다는 생각 회 맛있었는데 라면 쉰내 같은게 제 심한 비염 도 확 정도 다른 분 들 아마 못 정도 일행 번 그 이후 안 요가 성비 괜찮은지는 글쎄요 방어 처음 여기 괜찮 한데 시간 가세     
3,프릳츠 도화점,서울 마포구 새창로2길 17,3.9,        가성 비 끝판 왕 커피 빵 요 가격 저렴한데 맛 아주 좋은 커피 빵 입니다 분위기 완전 레트로 데이트 좋 아보 부모님 모시 오기 좋습니다 
4,소이연남,서울 마포구 동교로 267 1층,3.9,어느 시간 가든 웨이팅 감수 웨이 팅 때문 별 한개 를 맛   점 리 바쁜 와중 서비스 만점 줌 근데 마켓 컬리 소 이 연남 밀키 정말 실망 스러웠음 소 이 연남 이름 동네 쌀국수 집 못 이상한 맛  제법 괜찮아요 맛있어요  오랜 만 방문 특별한 맛 아니지만 웨이 팅 없으면 것 같아요 똠 양 뼈 
5,을밀대 본점,서울 마포구 숭문길 24,4.1,제 부족한 거      평양 냉면 입 문자 들 육수 걸레 물이 아니라 고 기 국물 걸 확실히 수 있는 집 
6,바다회사랑 2호점,서울 마포구 동교로 143 1,2층,           
7,크레이지카츠,서울 마포구 포은로2나길 44,4.0,서울   돈까스 맛집 커플 세트 다 맛있지만 특 로스 카츠 제일 맛있구 그 다음 히레카츠 맛있네요 짱 짱짱  웨이팅 길 맛있음  돈까스 정말 맛있고 가성 비도 좋아서 웨이 팅할 가치 있어요 
8,오레노라멘 합정본점,서울 마포구 독막로6길 14,4.3,최고 라멘 기와 면 식감 재밌다 웨이 팅 시렁  여 기별 점 낮게주는 분 들 이해 가안 댐     
9,역전회관,서울 마포구 토정로37길 47,3.1,        맛있어요 새 없음 
10,망원동즉석우동전문돈까스 본점,서울 마포구 동교로 83 1층,3.8,맛있다  토요일  시 웨이 팅   분 가격 천원 씩 대 만족 돈까스 제 스타일 맛있었어요 어묵 우동 어묵 일반 어묵 입니다 특별한 맛 아닌데 맛있어요       어묵 우동 중간 매운 맛      
11,테이스티버거,서울 마포구 독막로 67-11 행운빌딩 1층,3.5,장점 바삭 크리스 피 번 식감 굿 소고기 육즙 괜찮다 퀄리티 좋다 맛 좋다 화장실 나름 깨끗한 편 홀 서빙 직원 아주 친절하다 평일 오후 단점 가격 대비 터 무니 없이 작은 양 여성 주먹 만 크기 버거     원 프랭크 버거 일반 레귤러 사이즈 크기 메뉴 구성 왜 세트 없을까요 감자 튀김 최소     원 짜리를 추가 음료     원 부터 시작 물     생수 병     원 이나 그것 가장 저렴한 순수 입니다 뭐 굳이 물 만요 도합 버거 감 음료 최소      원 이상 창렬 가격 아무리 수 제 버거 라지 대표 메뉴인 테이스티 버거 단 품 하나 메뉴 보기 정확히   분 이 그 사이 배달 주문 것 없었구요 음식 안 도대체 내 언제 주문 영수증 발행 시간 체크 매장 협소합니   인 손님 창가 좌석   만 권유 말투 사실 상 강요 입니다 알바 그렇게 안 내 총 점     점 정도 가게 어디 힘든 알바생 친절함으로   점  이 걸 굳이 필요 없음 이 지점 관리 안되고 있는 것 같다  프랜차이즈 다른 고급스러운 버거 맛 
12,황금콩밭,서울 마포구 마포대로16길 9,3.8,포장 두부 글 두부 맛있음 포장 경우 두부 것 같아 저 어 주 는걸 바닥 간 고기 덩어리 수 있음 대기 인원 많음  두부 냄비 조림 두부 구이 조합 최고   두부 별로 안 좋아하는 사람 인정 수 없는 맛집 고소하면서도 부드러운 두부 역대 급 재 방문 무조건                   차 방문 청국장 두부 글 이   냄비 조림 진리  두부 글 이 생 두부 밑반찬 정말 정말 맛있게 글 이 단맛 과 매콤 맛 채수 로만 요리 것 좋았고 생 두부 맛 식감 간 전부 완벽해서 양념장 필요 없어요 친구 것 한 입 시래기 비지 탕 고소하고 담백한 것 아주 맛있었고요 아기 함께 아기 의자 없지만 미리 확인 알 간 거 따로 요청 아기 용 작은 숟가락 포크 등 매우 친절하게 맞이 부모님 친구 모두 모시 고픈 곳 
13,진미식당,서울 마포구 마포대로 186-6,3.6,간장게장 최고 맛집 김 싸 캬 카카오 맵 후기 들 다른 어플 후기 너무 경향 같음 이집 오점 아니면 도대체 어디가 오점 것 미슐랭 맛집 임  별로 댜돈 아까 움  밥 도둑 놈 예약 어렵고 비싸도 맛있긴 
14,몽중헌 공덕점,서울 마포구 마포대로 92 공덕해링턴 스퀘어 A동 2층,3.6,가격 좀 비싸네요      가격 좀 쎔 
15,마포나루 도화본점,서울 마포구 삼개로 11,4.1,저녁 가면 엄청 시끄럽긴 한데 닭찜 맛있어요  맛있고 분위기 좋아요 닭찜 정말 맛있어요 육회 맛있어요  느끼한거 여 기와 
16,평이담백뼈칼국수,서울 마포구 양화로7길 84,3.5,갈비탕 생각 가격 가성 비 맛 있고 양도 짐 배부르고 이런 곳 홀 서빙 이모 님 계시는 건 특이했지만 다른 직원 분 응대 잘 메뉴   개 승부 둘 다 맛있어요  비빔 칼국수 맛있네요 호로록  양 많다 요즘 식비 다 고만고만하니 엄청 비싼건 아닌듯 메뉴 뼈 칼국수 비빔 만두 전부 동네 맛집 이 라면 함 정도 아님 
17,스케줄 합정,서울 마포구 양화로6길 33 1층,3.8,가게 예뻐요 특별한 날 방문 맛 때문 분위기  생일 파티 목적 아니시라면 비싸요 요즘 파스타 피자 맛집 많아서 음식 퀄리티 솔직히 너무 실망   가격 때문 더 그런 것 같아요 가격 너무 매치 안되는 맛 이 랄  흠 
18,하이디라오 홍대지점,서울 마포구 양화로 176 와이즈파크 5층,4.0,토마토 탕 진짜 맛있어요 내부 널찍하고 직원 분들 친절하세요  영등포 건대 홍대 그 중 최고 입니다 직원 친절 최강  직원 분들 친절하시고 시설 너무 소스 맛있고 국물 맛있어요 
19,마포양지설렁탕,서울 마포구 새창로 6,3.0,아침 깍두기  김치 땜 또 것 같네요     팩트 체크 주말 주일 식당 앞 주차 공간 있으며 발렛 해 때 자리 없지는 주말 주일 아침 감안 다른 시간대 맛 최고 입니다 오래된 집 보증 집 입니다 특히 김치 파절 이 맛있습니다 식당 김치 중국산 국내 산 편 이 곳 보증 설렁탕 때 아무 생각 없이 밥 뭐 때 집 입니다 일 아주머니 분 들 거의 베테 분업 화 느낌 입니다 
20,감성타코 홍대점,서울 마포구 와우산로21길 20-11 2층,3.4,맛 있는데 불친절한 직원 있고 음악 소리 좀 많이 근데 다른 직원 분들 친절하셨어요  가격 좀 있는데 파히타 하나 또띠아 계속 주시 직원 분들 신경 짱 무엇 맛 미치고 미치고 미칩니다내 기준 홍대 최고 맛집 임    홍대 맛집 항상 여기 젤 먼저 말  가게 위치 약간 헷갈릴수 있을 정도 웨이 팅 없었고 직원 들 친절하네여 맛 감성 타코 지점 들 다 비슷한거 같은데 직원 들 계속 또띠아 배 먹음 
21,우동카덴,서울 마포구 양화로7안길 2-1 1,2층,           
22,943킹스크로스,서울 마포구 양화로16길 24 지하1층, 1~4층,           
23,원조조박집 본관,서울 마포구 토정로 313-1,4.1,기대 저 마포역   번 맛집 웨이 팅 필수 임 저녁     분 돼지갈비 힘든거 최고      다 맛있고 친절함 사람 많은 건 이유 있지 
24,헤키,서울 마포구 월드컵로17길 38,4.6,   숙성 고기 그런지 엄청 부드러웠고 하나 없어서 좋았습니다  서울 일식 카츠 중 가장 호불호 없는 곳 중 하나 입니다 촉촉하고 고기 튀김 담백한 맛 일품 입니다 그리고 반찬 들 하나 하나 카츠 특히레 배부르게 수 있습니다 
25,카페공명,서울 마포구 연희로 11 한국특허정보원빌딩 1층,3.7,가격 대비 별로 티라미수 적신 커피 진하지만 그거 외 특별한 것 없이 그냥 그럼 밀크 티 별로         
26,연교,서울 마포구 연희로1길 65 1층,3.7,    막   분 한 시간 씩 웨이팅 정도 맛집 아님 만두 우육 밥 종류 그냥 그래요 풍 탕수육 등등 튀김 류 제일 맛있음 진짜 맛남  맛있긴한데 웨이팅할 맛 아님 거중 야채 성 젠 바오 동파육 밥 젤 맛낫슴 일요일  시 에   분 웨이팅했  시 쯤 땐 웨이 팅 한 팀 재 방문 안 
27,카페 레이어드 연남점,서울 마포구 성미산로 161-4,2.6,    케이크 너무 맛있어요 연남동 자주 카페  메뉴판 영어 울 엄마 당황   자리 너무 좁고 빵 들 다 있어서 위생 한번 괜찮을 집 
28,오츠커피 마포점,서울 마포구 독막로14길 32 지하 1층,4.6,오늘  맛있다 아인 슈페 너 굳     
29,중화복춘,서울 마포구 동교로 220-7 1층,4.2,    이 연 복 제자 가격 좀 있지만 맛 분위기 모두 끝내줬음  비싸지만 맛 있는거 같음 
30,우리바다수산,서울 마포구 월드컵로 102,3.4,    대 방어 맛집 웨이 팅  시간 곳 아니네요  밑반찬 맛있구 항상 만취 곳      
31,우와 홍대본점,서울 마포구 와우산로21길 21-16 202호,3.4,너무 추워서 안 잠깐 저 요 직원 응대 너무 불친절합니다  맛없고 싸가지 없고 응대 태도 직원 교육 다시 같음  너무 맛있어요 또 곳 
32,맛이차이나,서울 마포구 독막로 68 2층,3.5,탕수육 강추  맛 분위기 좋아요 다만 예약 룸 모임 그 가격 못 직원 서비스 개선 꼭     
33,모연,서울 마포구 토정로 318 영우빌딩 1층,4.7,    친절하고 맛있어요     런치 등심 맛있네요      솥밥 좋았습니다 버터 전복장 같이 너무 맛있었어요 
34,진진 본관,서울 마포구 잔다리로 123 1층,3.9,맛 최고 가격 양 너무 부담            
35,리치몬드과자점 성산본점,서울 마포구 월드컵북로 86,3.4,역시 서울   대장 빵집  맛 하나 볼 때 최고 데 이견 없을 것 같네요  자전거 타고 밤 파이 다 맛있었습니다 버터 향 밤향 해 정말 밤맛나 밤 파이 바삭바삭하고 크림 덕 맛있었습니다 통밀 스틱 시나몬 향 구리 바삭바삭해서 앉은자리 순삭 디저트 매장 커피 같이 수 있어서 좋은 것 같습니다 
36,아소정,서울 마포구 백범로25길 9,3.5,갈비찜 정말 맛있어요 인생 최고 갈비찜 냉면 너무 솥밥 아주 쫀맛탱입니  정말 부드럽고 간이 베인 최고 갈비찜 회 냉면 너무 맛 만두 최고 임 가족 모임 좋을것 같다 다만 주차 불편   옆 고등학교 있는 주차장 대야 만 차 주차장 주차공간 있어 선생님 들 나가야 옆 대면 어떡하냐고 다짜고짜 화 내 밥 학교 안 시간 이동 주차 함 암튼 여기 주차장 식당 주차장 아니고 여기  역시 이름 값 하 곳 이군 하지만 자꾸 단맛 못 고기 연하고 비냉 맛있음 담 부모님 모시 
37,진짜파스타,서울 마포구 와우산로 64 전원빌딩 2층 202호,4.6,급하게 친절하시고 맛있어요 가격 좀 야하지     짐 맛있는 파스타     
38,소금집델리 망원,서울 마포구 월드컵로19길 14 2층,3.9,에멘 탈 치즈 메뉴 맛있었습니다 오렌지 주스 창렬         
39,연남토마 본점,서울 마포구 월드컵북로6길 61,3.4,           
40,포비 합정점,서울 마포구 양화로3길 66 1층,3.7,넓다  무화과 베이글 전 맛  따뜻한 라떼 바삭 준 베이글 존맛 단점 좁은 테이블 딱딱한 의자 
41,비파티세리 공덕점,서울 마포구 마포대로14길 4 1층,4.2,뺑 스위스 이 거 뺑 스위스 아닙니다 웩  분위기 좋습니다 커피 맛 그냥 보통 빵 케바케 가성 분위기 때 주차 불편하니 차 안  빵 맛있음 빵 종류 은근 히 많아서 좋음 카페 공간 넓고 시끄럽지 좋음 
42,각시보쌈,서울 마포구 성지길 25,3.5,    사람 언제나 많아서 시끌벅적한 것 신발 굳이 단점 보쌈 정식 완벽했는데요 고기 많이 비계 고기 적절하게 담백하고 촉촉함 입 춤 보쌈김치 달 신선한 맛 좋았고 고기 조합 더군다나 김치찌개 겉절이 맛있어서 김치 맛집 인정    합정역 보쌈 단연 추천 곳 늘 정신없이 북적 도 항상 친절해서 늘 즐겁게     
43,청어람 망원점,서울 마포구 망원로 97 1층,3.4,없을 무 무 맛  설날 연휴 네이버 영업 같았는데 문 오지       휴무  내 입맛 
