,name,addr,grade,review
0,목란,서울 서대문구 연희로15길 21,3.2,새우 요리 일단 원 탑 그다음 개부드라웠던 동파육 진득 탄탄 요리   개 고량주 맥주   만원 조금 생각 그렇게 비싸지도 탄탄      원 인데 비슷한 가게 세트 메뉴 가격 비슷하지만 여기 훨 맛있음 이렇게 진득 한 데 안 느끼한 탄탄 은 여기 첨 임  멘보샤 동파육 깐풍기 짜장 짬뽕 그 중 갑 짬뽕 연 복 이형 짬뽕  코스 요리 점심 시간 두 타임 있어서 그런지 순서대로 다 먹기 전 다음 음식 내 숨 찰 지경 음식 아 정말 풀 사이 뻐덕거리 냉채 눅진한 튀김 류 다 여기 뭐 접대 자리였는데 얼굴 화끈화끈 서비스 아버지 쏙 빼 아드님 주인 노릇 이런 음식 이런 서비스 정신 가업 대대로 벤츠 호의호식 복 인생 이 시 네 호텔 중식 당 못 정도 줄 어마어마한 경험 아직도 얼굴 화끈 거리 네 
1,만동제과,서울 서대문구 연희로 32 1층,4.3,한가할 때 우연히 방문 시식 계속 권 친절하셔서 사실 구경만 마늘빵 사서 마늘빵 맛 예전 다름 없이 촉촉하고 맛있었어요 꼬드꼬드 맛  맛없 없 마늘 바게트  마늘 바게트 제일 맛있고 다른 빵 들 평타 이상 맛있어서 집 가까우면 매일 맛 마늘 바게트 꼭 에프 
2,카덴 연희본점,서울 서대문구 연희로 173 거화빌딩 1층,3.3,주말 웨이 팅 한 시간 정도 일단 우동 이 정도 값 지불  시간 웨이 팅 우동 아주 좋아하는 그런 분 들 만족 좀 힘든 맛 것 같아요  나 우동 좋아하는 사람 안 사진 맛 서비스 둘 다 끝  온 우동 붓카케 맛있었다 다시 꼭 
3,신촌형제갈비,서울 서대문구 명물1길 2,2.6,맛  최고 가성 비 대비 맛 전통 신촌 맛집  기 대 이하 맛 중국산 김치 직원 들 친절 갈비탕 저렴한 가격      원 국물 조미료 맛 위주 갈비      사진 꼬리 기도 질김 갈비탕 결제 영수증 사업자 명 신촌 형 제 갈비 아니라   층 갈비탕 는걸 신촌 형 제 갈비 수수료 입점 식당 같음 한겨울 따뜻한 갈비탕 한 그릇 맛없기 비지 떡 것 같다 
4,한옥집김치찜 서대문본점,서울 서대문구 통일로9길 12 1층,2.7,혼자 여자 종업원 포장 고 물어 간다 불만 가득한 표정 응대 더라구요 콩나물국 서빙 국 없이 건더기 나중 식사 도중 육수 냄비 째 국 그릇 혼밥 죄 마음 공포 처음 요  한 번가 안 집 차라리 집 듯  여 사장 공주 놀이 대답 좀 부탁드림 
5,앤트러사이트 연희점,서울 서대문구 연희로 135,3.6,작업 가기 좋아요 근데 저녁 너무 깜깜 눈 침침해요      커피 맛 좋다 연희동 카페 중 상위 권 생각 함 그러나 테이블 불편하고 위생 적 인지도 감성 샷 가능한 테이블 겸 의자 남 엉덩이 곳 내 커피 싫음 직원 정말 불친절함 지금 내 돈 예의 차려 주문 응대 너무 불쾌했음 나 만 그런줄 웬만하면 안 우리 아버지 불친절하다고 정도 
6,라구식당,서울 서대문구 연세로 42-24 1층,4.0,메뉴 딱 라자냐 구 파스타 두 개 라자냐 구 파스타 맛 너무 극찬 정도 아니고 함  불친절해요 숏컷 알바 그릇 엄청 시끄럽게 쾅쾅 화가 잔뜩 있음 음식 맛있음 그릇 대여섯 번 쾅쾅 간 뻔    눈치 보임  한국 이만 라자냐 찾기 어려움 
7,고미정,서울 서대문구 연희로26길 28,3.7,밥 엄청 맛있음 요즘 물가 비 가성 비 좋은 편         
8,락희안 명지대본점,서울 서대문구 가재울로4길 53 1, 2층,           
9,피터팬1978 본점,서울 서대문구 증가로 10 연궁빌딩 1층,4.1,소금 빵 맛있었어요 계산 사장 님 친절하셨어요  딸기 궁둥이 빵 자꾸만     
10,맛있는집,서울 서대문구 거북골로20길 55 지하1층,4.5,    먀시씀  눈물 콧물 다 정도 엄청 매워요 맛없는건 아닌데 생각 아니고 
11,연경 연희점,서울 서대문구 연희로 145,3.1,연경 연희 점 가장 기대했던 북경오리 살짝 평범했지만 대 체적 가격 대비 괜찮았던 요리 류 모임 좋아요  북경오리 우육 은 괜찮았는데 크림 가격  만원 양도 소스 없었어요    모기 엄청 엄청 많았습니다 주차 테이블 당    반올림 별   개 
12,철길떡볶이,서울 서대문구 충정로 35-6,2.8,맛 요 가성 비 좋구요 재 방문 시설 오래된거는 감안  맛있게 잘  학교 앞 떡볶이 느낌 특별한 것 없 디 사 진보 또 
13,연희동칼국수 본점,서울 서대문구 연희맛로 37 2층,3.3,맛 그냥 무난 한 데 다른 후기 들 밀가루 맛 강해요 식사 다 때 쯤 그릇 회수 건 좋겠네요 어느 나라 어느 시대 문화  왜 손님 많은지 진심 맛 김치 맛있다     
14,고삼이 신촌점,서울 서대문구 연세로7안길 38,4.5,때 오징어 볶음 양 근데 왜 남성 있는 테이블 한가득     아시 진짜 다 이럴거면 가격 덜 맛있어서 자주 좀 속상해요      학생 때 자주 감 
15,시오 연희본점,서울 서대문구 연희로11가길 23 1층,3.5,종업원 응대 너무 불친절하네요 영하 날씨 가게 말 기분 나빠서 공간 있는데 손님 명령 하 듯이 말 누가 기분 좋게 식사 하나요 종업원 때문  무난 일본 가정식  일 본 가정식 달인 맛집 이 유명한 집 입니다 연어 가정식 훈연 맛 안 무청 시래기 아주 별미 입니다 아쉬운건 일본 가정식 구성 다양하긴 한데 짐 느낌 못 
16,신촌황소곱창 신촌본점,서울 서대문구 연세로9길 31 1층,2.0,그 유명   인분 값 곳   거르는집    이런 가게 불매운동  부추 곱창 배바위 양 곱창 없을 땐 자주 이 젠 굳이 위생 별로 강매 별로 맛 뿐이었지만 이 젠 다른 맛있는 집 들  여기 양도 두 배 값 두 배 곳 이군            
17,꼬숑돈까스,서울 서대문구 명물1길 2 1층,3.7,대한민국 최고 가성 비 돈까스 집  서울 최저 갓 성비 돈까스 맛 후추 간 잘 평범한 돈까스 맛 가격 대비 구성 양 생각 이정 가성 비 없음 음료 나름     원 이라 저렴한데 물      현금 계산 선불 자리 협 소하 괜찮았음  별 점 왜      당연히   점   점  천원 이면 자선 사업 수준 불만 들 많네요 돈까스 퀄리티     원 기준 다른 식당     원 정도에 팔만 퀄 입니다 맛 비싼델 가야 불만 있으면 괜히 웨이 팅 시간 더 길어만 
18,벙커1,서울 서대문구 충정로 20,4.5,    라면 맛집 인정     굿   바이든  월  일 까지 평일             
19,어머니와아들,서울 서대문구 홍은중앙로 100-1 1층,4.2,남 차앞 오토바이 주차   분 이나 최소한 죄송합니다 말 못 가게 전화하니 직접 전화하라고 오토바이 전화번호 아무 것 안 가게 전화한거고 인상 빡 진짜 포방터 시장 이 젠 안녕  닭 곰탕 깔끔하고 너무 좋아요     
20,소신이쏘,서울 서대문구 연세로5가길 19 1층,3.8,무난  크림 갈비 맛집  크림 갈비찜 굿 
21,더파이홀,서울 서대문구 연세로5나길 20 1층,4.0,정신 없어요 맛 있고 분위기 좋아요   층 쿰쿰한 냄새 나요  역 가깝고 무난 히 귀여운 가게 디저트 들 맛 괜찮다 밖   층 자리 꽤 넓으나 손님 많아서 조금 시끄러웠음  사람 많아서 조금 정신 없긴 하지만 파이 맛있음 커피 그냥 그 럼 
22,부엉이돈가스 신촌점,서울 서대문구 연세로4길 62,4.0,        이 곳 카카오 후기 조금 과대 평가 면 있네요 감자 튀김 바삭 맛있었는데 고기 좀 뻑뻑 소스 살짝 아쉬운 느낌 돈까스 돈까스 잘 아무래도 좀   점 부족하다 하지만 직원 분 엄청 친절하시고 서비스 정신 좋은    
23,정육면체,서울 서대문구 연세로5다길 22-8 1층,3.7,    무 뎌 진 맛 뒤 게 없었다  그동안 탄탄 중  등 
24,카라멘야,서울 서대문구 연세로7안길 34-1 1층,3.8,파 마늘 듬뿍 익숙한 맛 한데 국물 가볍고 평범한 라멘 입니다    국물 찐득한게 쥑 요 같이 주문 튀김 맛있었어요 신라면 매운 맛 추천   기름 찐득한 맛 그런 맛 싫어한다면     
25,복성각,서울 서대문구 명물1길 24,3.3,무난      짬뽕 좋아해서 삼선짬뽕 곱 배기 주문 면 곱 배기 상 직전 꽃게 두 조각 냉동 칵테일 새우 몇 마리 갑오징어 세 조각 전부 국물 맛 뭐 같고 딱      원 짜리 동네 짬뽕 수준 못 전화해서 뻔할테니 리뷰 장사 똑바로 해 어차피 오래 못 
26,사조미가,서울 서대문구 통일로 107-39 사조빌딩 2층,3.4,이 정도 최고 입니다 예약 신속 초 간단 주차 편리 음식 빨리 가격 착해 친절 룸 조용 도심 권 프라이 빗 고품격 한정식 입니다 별 한개 리뷰 님 적당한 만족 감사 좀  부모님 좋아하셨어요  모든 메뉴 반 내 이유 뭔 지 빨리 여기    번 정도 메뉴 좀 다양하게 구성 
27,콘하스 연희점,서울 서대문구 연희로27길 99,2.5,세상 불친절하다고 다 같은 마음 요          진짜 남 여직원 없이 다 불친절합니다 포크 하나 더 달라 무서워서 말 못 물티슈 아주 당당하게 없다고하네요  불친절 그 자체 절대 안감  너 무 추 워 덜덜 
28,가야가야 이대점,서울 서대문구 이화여대5길 7-3,2.6,    나쁘진 그냥 돈 살빼는게 이득 일 듯 불쾌할 정도 맛 없는건 아님 재 방문 의사    자리 있는걸 보고 어떠한 설명 없이   만석   호통 무서워서 못 같아요     
29,이화원,서울 서대문구 연희맛로 13,2.9,너무 친절하시고 맛 요 삼선 짜장 곳 중 제일 맛 요      또 용  아버지 함께 저녁 식사 정말 아버지 안 계셨으면 저 카운터 여자 분       소리   당신 같은 인간 들 때문 중국인 들 이용 안  예전 모임 장소 좋았어서 두 번째 방문 장소 공간 좋음 남자 사장 님 이 정도 친절하신 편 근데 리뷰 짬뽕 너무 먹기 힘들었음 굴짬뽕 굴 글 서빙 사람 정말 리뷰 음식 중국말 욕함        어이없었는데 모임 분위기 암 말 안함 
30,편의방,서울 서대문구 연희로 36,3.8,만두 진짜 끝내줍니다 피 쫀득 육즙 가득   나머지 짬뽕 짜장 기본 이상   다만 좀 청결하지 못 한 점        군 만두 재미 
