,name,addr,grade,review
0,삼육가 사당역1호점,서울 서초구 방배천로 10 1층,4.2,힘 안 땐 여기 충전 가요     일요일 점심 예약 방문 손님 많지도 엄청 정신 없었음 고기 곳 일부러 고기 필요 이상 바싹 그 맛 고기 다태 움 그리고 무슨 소 밥 고 기 위 채소 우르르 어떻게 다른 직원 오히려 더함 고기 다 고기 짓 경악 그 자체 오히려 내 불 조절 포항 초 처음 이건 진짜 신세계 맨날 고기 질 좋고 맛있어 직원 들 진짜 엉망 진창 구 움  꽃 삼겹 강추 
1,일품진진수라 강남점,서울 서초구 서초대로 254 오퓨런스빌딩 지하 2층,3.1,홈페이지 도시락 제목 몇   인지도 사진 없습니다 그리고 비용 도시락 하나 몇 만원 씩 요가 성비 요즘 이런 불친절한 메뉴 소개 가격 어떻게 판매 하실런  난상 많이 부족한 느낌 손님 들 죄송하더라고요 손님 대접 때 매상 난상 좀 아닌거 같아요  다시 가성 비 꽝 입니다 
2,노티드 서래,서울 서초구 방배로32길 30-9 르팰리스 1층 101호,3.4,노티 드 갠 적 자주 가요     최고  노티 드 앙      
3,임병주산동칼국수,서울 서초구 강남대로37길 65,3.2,예전 김치 맛 아니네요 김치 반 쩝      이 젠 일이 없을듯 맛있는 칼국수 집 하나  칼국수 가격 무난 맛 무난 만두 아리송했는데 바쁜 시간대 그 런가 아님 오래 방치  족발 하루 전날 해 내 마르고 퍽퍽함 왕만 무난 서비스 칼국수 용 국물 담백하고 시 원 족발 
4,텍사스데브라질 센트럴시티점,서울 서초구 사평대로 205 파미에가든 4층,3.4,    고기 다 맛있었고 분위기 좋았어요 다음 기념일 또  압구정 점 고속 터미널 센트럴시티 점 더 맛있고 인테리어 좋았어요 
5,서관면옥,서울 서초구 서초대로56길 11 1층,4.0,슴슴 맛 평양 냉면 입니다 서빙 직원 분 냉면 맛있게 법도 전반 적 만족한 식사  골동 냉면 포장 맛있어요 한우 수육 후라이팬 더 맛있습니다 포장 용기 하지만 포장 한겨울 가능한듯     
6,세광양대창 교대본점,서울 서초구 반포대로28길 79 1,2층,           
7,프릳츠 양재점,서울 서초구 강남대로37길 24-11 서림빌딩 1층,4.0,지하 어 두 컴컴 분위기 좋고 라떼 디카 페인 두유 변경 다 좋습니다  빵 들 여전히 맛있으나 커피 맛 너무 평범해져서 아쉽습니다   층 손님 들 조용하나 일 분 들 쉬 쩌렁쩌렁하 신기한 곳 입니다  의자 심각하게 삐걱 거려 위 커피 엎지 가능성        
8,백년옥 본관,서울 서초구 남부순환로 2407,3.1,간단하게      원 짜리 순두부 평범한 맛 불친절  음식 맛 무난 읍니 조금 친절히 응대 음식 맛 더 좋게 것 같 읍니  가격 맛 다 변해서 더 이상 메리트 없는 곳 여기 갈바 바로 아래 있는 부정 부페 훨 맛있고 가성 비 좋음 
9,설마중,서울 서초구 남부순환로 2648,3.4,연말 모임 행사 풀 코스 생각 많이 괜찮았어요  프라이 모임 수 있어서 좋았어요 맛 친절 적당합니다  친절 바라지 그런데   번룸 서버 분 언제 주문 계속 식사 준 건 생각 안 브레이크 타임 그래서 그 새 못 그릇 불친절한 말투 계속 안내 하니 기분 별로 같은 말 아 다르고 어 다른건데 요 고기 너무 못 셔츠 양념 좋 은 좋은 거지 아무 말 안 일행 모두 그 분 태도 보고 한마디 씩 하 는걸 사람 것 다 똑같네요 주차장 잘 있는 이유 별 두 개 
10,교대이층집 교대본점,서울 서초구 서초대로50길 24 청화빌딩 2층,4.0,엄청 맛있진 괜찮았다    일단 고기 너무 편하고 좋았다 통 삼겹 고기 부드럽고 육즙 같이 국물 간도 딱 대 체적 맛있었다 김치볶음밥 그냥 무난 느낌 하 본점 꼭 정도 아닌거 같다      댓글 밑반찬 더 살찐다고 안주 직원 있다는데 정신 아님     
11,하이디라오 강남점,서울 서초구 서초대로77길 54 서초W타워 2층,4.0,보통  사악한 가격 매우 친절한 서비스 맛 이 것 저 것 둘이서   만 원     
12,영동설렁탕,서울 서초구 강남대로101안길 24,3.4,고기 많고 국물 맛있음 자극 적 미지근하게 개인 적 좋았지만 뜨겁게 달라 있으니 참고 요즘 파 비싼데 파도 많고 깍두기 국물 주전자 있어서 취향 있음 배추김치 괜찮긴 한데 깍두기 맛 정말 좋았음 손님   할아버지 손님 들 이심 점원 아줌마 아저씨 들 사무 적 한데 불친절하지는 주문 때 아줌마 들 끼리 중국말 얘기 함   년 곳 오래된 곳 특유 분위기 있음 좀 쿰쿰함 개인 적 싫지 주차장 넓음  설렁탕 많음 국수 별로 당면 파 석 박지 맛  맛 있는데 내부 너무 오픈 분위기 술 마시기 조금 아쉬운 분위기 
13,이자카야나무 강남3호점,서울 서초구 서초대로75길 23,3.1,원래 이 곳 새우 튀김 정말 좋아했었습니다 그런데 얼마 전 방문 새우 작은 놈 요 가격 용서 재료 타협 그것 용서 없습니다  룸 프라이 맛 조음  강남 금욜 저녁 최대 이용  시간 은 쫌 오 바 아닙니 카   룸 아니구 그냥 테이블 디 그래서 남 들 자신 사람 드릉   어케 
14,봉산옥 서초동본점,서울 서초구 반포대로8길 5-6,3.7,  남자 사장 매우 불친절 만둣국 국수 모두 슴슴함 간 건가 생각 정도 김치 맛있음      맑은 국물 찬 만두 모두 매력 적 
15,이춘복참치&스시 강남점,서울 서초구 강남대로61길 13 1,2층,           
16,탐라도야지,서울 서초구 서초대로50길 82,3.3,맛 그럭저럭 종업원 중국사람 말 못 알 실수 많고 돌 풀판 좋은데 철수 세 미로 그 자리 더러 움 주의  그냥 모든 것 전부 다 짐 갓 성비 최고 맛집   인분 무료 우삼겹 존맛 탱 임 해물 된장찌개 맛  개맛 있음 
17,노랑저고리 강남점,서울 서초구 서초대로73길 9 타임빌딩 5층,3.0,    밥때 사람 없는 시간 좋은 집 한가하니깐 음식 따뜻하게 맛있고 친절함    아무리 생각 여기 직원 들 근처 경쟁 업체 애 망하라고 침투 스파이 들 분명함 도저히 월급 일 서비스 이럴수는 없음 사장 뭐 사람 가게 망해가도 아무 상관없는 이 건물 건물 주인 그냥 취미 가게 분 
