,name,addr,grade,review
0,블루보틀 성수 카페,서울 성동구 아차산로 7,3.1,    커피 맛 그저 그렇고 분위기 인상 깊지 아쉬웠음  나라 맛 다르던데 맛없는 편 아이스 라떼 기준 분 들 너무 너무 친절하셨어요       그래서 기분 좋았어요 
1,소문난성수감자탕,서울 성동구 연무장길 45,2.8,음 왜 맛집 고기 너무 질 기고 일반 감자탕 집 더 부드럽고 안남 배탈 볶음밥 왜 꼭 별로  불친절하고 기본 적 손님 귀찮아  줄 서서 원래 잘 감자탕 집 못 볶음밥 감자탕 국물 김 가루 깻잎 오히려 맨 밥 맛 없었습니다 
2,할아버지공장,서울 성동구 성수이로7가길 9,3.3,터 무늬 없이 비싼 가격  음료 온 더락 잔 같이 특이하더라고요 분위기 좋고 전반 적 좋았던것 같아요  분위기 좋음 
3,쎈느,서울 성동구 연무장5길 20,3.7,    괜찮습니다  공간 넓어서 카페 자리 없을 때 곳 모든 것 평범 
4,어니언컴퍼니,서울 성동구 아차산로9길 8 1,2층,           
5,성수족발,서울 성동구 아차산로7길 7 1층,3.3,주방 장 또는 사장 님 아니면 모든 재료 예전 그 맛 절대 아니네요 가끔 포장 족발 맛 크기 고기 질 너무 퍽퍽 모두 변한거 같아요 이 젠 못 동네 시장 족발 질감 요 저만 그런 건가 밑 다른 분 리뷰 맛 변했다고 분 있네요   하나 더 추가 늘 마늘 상추 판매 가격 너 무적 포장 상추 한여름 아닌데 너무 너무 수고  맛 도리 족발 여 기여 만해 급 아닙니다 사이드 메뉴 없는게 아쉬워요 하지만 그래서 맛집 아닐까  맛있지만   급 임팩트 인 
6,왕십리조개창고,서울 성동구 왕십리로 331 경진빌딩 지하1층,3.1,괜찮아요  매장 굉장히 깔끔하고 쾌적했어요 조개 고기 퀄리티 좋아서 만족했던 맛집    가성 비 괜찮아서 다음 친구 들 데리 오기 괜찮을 것 같아요 맛집 추천  저번 주 서울     핫 조개 구이 맛집 만족스러워요 직원 분들 엄청 친절하고 소고기 돼지고기 무한리필 있다니 이 가격 가성 비 이만 곳 없다고 습 치즈 퐁듀 콘치 즈 짱    
7,땅코참숯구이 본점,서울 성동구 행당로17길 26 1층,4.2,목살 맛있어요  고기 시절 목 살맛 처음 준 곳 지금 그때 메리트 없음  서울   목살 맛집 중 육즙 살발 목살 입니다 참숯 너무 특히 버섯 구이 비싼 송이 육즙 가득한 새 송이버섯 통구이 입니다 
8,할머니의레시피,서울 성동구 서울숲2길 44-12,3.4,맛있습니다 쌈밥 젓갈 모두 굿굿굿         
9,대성갈비,서울 성동구 서울숲4길 27,3.1,지금 식당 서비스 중 가장 최악 바뻐서 일 싫은지 그냥 최소 다섯 번은 옵니다 일단 직원 들 대답 안 패 시브   인분 때 불판 한번 안 암튼 뭐 주문 직원 님 눈치 봐야힙니 맛 그냥 평범하고 고기 위 뼈 고기만 갈비살 살 있는 부분 갈비살 아닙니다 맛있게 일행 모두 기분 상해 하 이집 가세  사람 많은 이유 납득 곳 게장 양념 정말 맛있어요  최애 돼지 갋비집 달 완벽 
