,name,addr,grade,review
0,나폴레옹과자점 성북본점,서울 성북구 성북로 7,2.9,솔직하게 너무 맛있다 아닙니다 그렇다고 직원 들 친절한것도 아니고 왜 유명한지  생크림 케이크 진짜 너무 너무 너무 맛있음 부드럽고     
1,성북동메밀수제비누룽지백숙,서울 성북구 성북로31길 9,3.7,    이모 님 다 친절하시던데 거진 십년 째 불편한 적 한번 없었어요 좋아요     
2,성북동빵공장,서울 성북구 대사관로 40 B동 1~3층,2.4,빵  천원 이상하는것 같아용 빵 공장 명성 답 빵 어마어마하게 많지만 가끔 성북동 데이트 때 정도 같아용 차 없으면 절대 못 곳      빵 맛있는데 직원 들 표정 너무 어두워요 사장 님 단체 기합 가격 비싼 편 다음 또 카운터 직원 불친절 
3,성북동면옥집,서울 성북구 대사관로 40,2.9,갈비찜 미 제일 양 걸 진짜 비싸요      원 이에여 맛 그냥 갈비찜 맛 특별한 점 못 그냥 저 만 곳  솔직해 맛 있었어요 비싼건 유명 세도 있고 설연휴 곳 서비스 가격 생각 서비스 최악 평점 낮은데는 이유 있어요     나 아니겠지 하지맙시     서브 메뉴 누락 메인 메뉴 안   분 기다림 음식 다 심지어   번 확인 주문 말 뿐 다시 말 그때 누락 된거    가격 아니니 서비스 가격 생각 서비스 가격 곳도 아닌것 같고 주변 사람 간다 가게 안 바쁠 때 가라 우선 나 재 방문 안 듯 메인 메뉴 반 만둣국 아이 먹이 냉면 냄새 못      양 은근 많고 부드럽네요 
4,팔백집,서울 성북구 보문로30길 46,3.8,        운 좋게 대기 없이 바로   인 이서 쫄 갈비   시래기 밥   볶음밥   먹음 맛있음 
5,태조감자국,서울 성북구 보문로34길 43 세학빌딩 1층,3.9,성수동 맛있음      맛있 다기 그냥 감자탕 집 전통 있다니까 먹음 시장 있을 때 그때 그 감성 없음 시설 쾌적해 짐 
6,안동반점,서울 성북구 고려대로1길 35-1,3.8,           
7,한상차림밥상,서울 성북구 고려대로8길 35,3.4,중간 사진 실제 더 많아요 부족하면 리필 해주시    배 다 못   음식 하나 하나 정갈하고 깨끗하고 신선해요 맛 뿐 아니라 다 너무 친절하시고 특히 사장 님 많이 건강하라고 뭔가 할머니 온 것 처럼 훈훈했어용    전반 적 괜찮고 동시 막 특출난 것 없는데 건강하게 좋습니다  혼밥러 내 보기 테이블 구성 식당 규모 볼 때 혼밥 무리 입니다 식구 지인 가세 그리고 맛 그냥 그래요 갈비찜 보쌈 그나마 
8,공푸,서울 성북구 삼선교로24길 29 1층,4.3,이집 탕수육 잘 포장 친척 분들 대접 잘 점심 줄 서서 야할만큼 맛집 입니다  벌써 재 방문 몇 번인 개인 적 탕수육 정말 맛있어요  맛있다고 항상 웨이팅 있는 식당 입니다 정말 국물 진하고 맛있지만 이 맛있는 차돌박이 짬뽕 많습니다 굳이 이 집 대기 필요 없습니다 
9,수아당,서울 성북구 동소문로20가길 33 1,2층,           
10,갈비명가이상 길음신관,서울 성북구 정릉로 395,2.2,    싸구려 갈비 아니지만 그냥 혼자 곳 어째 한번 눈꽃 갈비 이상 갈비 맛 정말 하늘 땅 차이 여기 가시 돈 조금 더 꼭 눈꽃 갈비  가끔 곳 음식 맛 최고 직원 화통 똑같은 주문 몇번 알 아들 것 직원 들 물 갈이 필요해 보임 아님 총괄 분 교육 문제 몇번 우왕좌왕 주문 한참 안 한참 후 다른 직원 언제 산뜻하게 말씀 주문 안되있으니 지금 주문 함 그 후 도 바로 갖 바로 안 몇번 사이 식사 거의 화 우와 직원 분들 대통령 줄 국민 손님 불통 음식 맛 있어서 언젠가 또 비싼 가격 대비 서비스 질 현저 깃값 올 리지 직원 분들 서비스 땐 서로 대화 빠릿빠릿 한 시스템 바 음식 눈꽃 갈비 최고 이 동 갈비 사이즈 차이 꽤 남 
11,고른햇살,서울 성북구 개운사길 14,4.4,참치 다시 행복해요  사람 너무 많아서 포장     참김 최고 존엄  여기 개미 침 
12,수연산방,서울 성북구 성북로26길 8,3.3,예쁘지만 가성 비 별로                                                                     
13,쌍다리돼지불백 본점,서울 성북구 성북로23길 4,3.1,고기 몇 점 저 가격 이 해안가 맛없고 불친절    년 동안 종종 나름 세월 있으니 단골 일 수 있겠네요 둘 가면 메뉴   개 불 백   개 부대찌개   개 혼자 가면 메뉴   개 불 백   개 부대찌개   개   일 구정 대체 휴무 때 혼자 평소 다르게 고기 하얗고 부대찌개 햄 평소 없었습니다 일 직원 분들 급하게 온 것 요 안좋게 쇠퇴 길 것 아닌가 우려 스럽습니다 주차 관리원 차 신경 안 매장 앞 차하 원래 하나 안 누구 이야기 열심히   년 전 한번 밑 집 사실 그 집 원조  형님 주차 편함 다만 예전 유명했다던데 이 가격 왜 예전 택시 기사 어르신 들 입맛 짭쪼름 후추 맛 근데 퍽퍽함   
14,이공김밥 안암본점,서울 성북구 안암로 61-6,4.2,김밥 배불러요  항상 친절하시고 맛 최고 입니다  가성 비 좋아요 특히 참김 짱 후 토마 끼 급 떡볶이 맵 착착 맛 
15,문화식당 성신여대점,서울 성북구 보문로30나길 37 지하 1층,4.3,        너무 맛있네요 크리스마스 분위기 너무 좋았어요 
16,금왕돈까스 본점,서울 성북구 성북로 138,2.8,맛 그냥 그냥 비쌈  소스 사이드 다 상 아슬아슬 맛 카카오 맵 리뷰 보고 걸 다 제 잘못 입니다     
17,한상,서울 성북구 화랑로 248 장위뉴타워 13층,2.3,    상호 그대로 짐 한 상 입니다 근데   인식 사도 요        여자 분 사장 님 가요 밥 그 분 지겨운 인생 이내 
18,블랑제메종북악,서울 성북구 성북로 156,3.2,주차 발렛비  시간 에  천원 이후 시간 당 추가 요금 있음 블루베리 요거트 로 상     원 음료 메뉴판 못   막 친절하진 자리는 많은 편 저녁 빵 할인 함  분위기 좋고 빵 맛있어요 특히 다른 빵 맛있지만 덴마크 식빵 식빵 이렇게 맛있을수 있구나  저녁 빵 없음 오전 가야 겨우 겨우 
19,장수감자탕,서울 성북구 도봉로3길 9-10,4.3,볶음밥 꼭  맛있고 양 많음 위생 안좋음                                             
20,갈비명가이상 돈암본관,서울 성북구 정릉로 364,2.4,여기 미 쿡 식 듯   돼지갈비 상추 고추 쌈장 마늘 깨잎 내 입 안맛 네 너무 달 비싸    내 입 잘 못 사람 많아    직원 교육 필요      그것 해결 더 잘 워낙 잘 그건 안중 없는지 맛 좋아 하지만 때 종업원  집앞 갈비 집 맛 차이 없음 이 돈 하나 소갈비 돼지갈비 맛있음 밑반찬 그냥 그렇고 새우 간장 오래 비린내가 남 직원 들 친절하지도 재 방문 의사 없음 
21,채화정,서울 성북구 오패산로3길 9,4.0,누룽지 백숙 맛있어요 둘 먹기 양 좀 많은데 음식 포장 좋네요 화장실 깨끗하고 직원 들 친절해요  누룽지 백숙 너무 맛있어요 누룽지 존맛 탱  해산물 싱싱했는데 개인 적 국물 별로    그래도 직원 분들 다 친절하시고 주차장 넓고 아기 의자 있어서 편하게 소갈비 해물찜 중 
22,장위동유성집 본점,서울 성북구 화랑로 118 2, 3층,           
23,해로커피,서울 성북구 성북로 19-3 1층,4.5,크림 말차 강력 추천 미끌미끌한 크림 맛 안나         
24,청년밥상문간,서울 성북구 보국문로11길 18-2 2층,4.9,    신부 님      
25,동선식당,서울 성북구 보문로30라길 9 1층,4.3,맛있어서 자주 마감 시간  분 도 안 네 여 마감   분 전 먹기 시작  분 전부터 계속 제 촉 정각 사실 마감 시간 못 죄송하지만 술 테이블 아니고 식사 테이블 너무 정 없고 얄 짤 없었습니다 이제 안좋은 경험 방문 안 같습니다 차라리 주문  냠냠냠 매운갈비찜 생각 못 메밀전 서비스 가게 아담하고 이쁘더라구요 의사 있 습  직원 분들 친절하셨는데 고기 양념 너무 서비스 전 맛있었음 
26,밀곳간,서울 성북구 성북로18길 19 1층,4.1,    맛집 특 멀리 있음  소금 빵 거 안 얇은 치즈 같은거 있는거 같은데 여 전 빵 입 빵 내 음 확 맛있게 바질 크림 베이글 인 가도 맛있었어요 가성 맛있는 빵집 
27,남해바다마차,서울 성북구 한천로78길 71,3.4,방어 맛있어요  음 뭔가 예전 못 것 같다  방어 숙성 회 맛 적어도 서울 최고다 양 조금 아쉽지만 
28,삼청각 일화당,서울 성북구 대사관로 3,2.3,진짜 별로 맛 있었는데 음식 다 다음 코스 빨리 줄 휴지 같은것도 안 메뉴 설명 안 엄마 생신  만원 짜리 식당 서비스 어려웠네요 안      상견례 예약 방문 예약 인원 파악 안되어 있고 룸 방음 전혀 안되서 옆방 크게 소리 분위기 다 절대 입니다 직원 분들 유니폼 손님 볼 수도 있는 곳 흡연 고급 진과 거리 멉니 
29,청수장,서울 성북구 정릉로 237-2 1층,3.2,초등학교 때 곳   년 만에 다시 이사 처음 그래도 맛있었지만 시간 고 기 부위 생각 계속 듬 너무 퍽살 이집 특유 소스 칭찬 없습니다 아이 먹기 퍽퍽 간 도안 밸 정도 부위 들 많아서 옛날 그 맛 생각 절대 안됨 사실 땐 맛집 냉면 곳 가격 있는대로 질 왜 이리 저희 모든 식구   년 을 좋아하던 곳 맛 못 안타까워요  예전 맛 아님 가격  때 맛있었던 집 
30,제주고깃집 성북구청점,서울 성북구 보문로 144 1층,4.6,    여기 너무 맘 자주 있습니다 일단 고기 정말 맛있고 매장 기름 안 냄새 다른 곳 거의 안배 편이 깔끔해서 더  고기 집 테이블 나이테 마냥 켜 기름 때 정말 싫어합니다만 매장 청결하고 정말 맛있어서 기분 좋은 방문 또 
31,애정마라샹궈 본점,서울 성북구 동소문로20나길 11 2층,4.3,현 지인 인정 맛  맛 있어요 친절하고 맵 기도 적절하고 깊은 맛 적절해요 가지 튀김 달 부드럽고 맛있어요 조선족 가게 저 그저 그럴 뿐     
32,가부,서울 성북구 보문로 182 1층,4.2,맛집        불향 가득 차짬 불향 가득 해물 볶음 짜장 첵오   그리고 탕수육 역시 부 아시 
33,서울왕돈까스 성북동본점,서울 성북구 창경궁로35다길 140,2.9,비싸 비싸 비싸 맛    옛날 친구 들 가끔 안 간지 너무 오래 내 기억 친절   맛   한마디 종합 서비스   다    년 전 경신 중학교 간혹 점심시간 하교 길 돈까스 값 양 많은 기 사 식당 졸업 간혹   여 년 오니 이제 양 많지도 이제 맛집 건가 
34,성북동집,서울 성북구 성북로24길 4 1층,3.9,진짜 불친절 끝 보고 원래 이렇게 불친절 예 거 보고 이정 맛 이 솔직히 서울 널렸는데굳 여기 이유 없는 것 같네요      칼 만두 맛 요 
35,라라면가,서울 성북구 동소문로22길 57-25,4.3,마라 안 좋아하는데 여 기선 맛있게 추천  맛  꽈바로우 맛있다 
36,창신동매운족발 본점1호점,서울 성북구 한천로78길 57,3.8,맵 달달 숯불 맛 나 족발  오랜 만 맛 많이        원 매운 앞다리 포장 두세 점 못 아깝지만 맵 기만 맛 없어요     전 맛있어서 몇번 오랜 만 맛 진짜 많이 변했네요 최근 평 보고 안 같아요 
37,두부촌,서울 성북구 안암로 43,3.4,너무 맛있어요    콩 비지 두부 황태 다 정말 맛있게 만족스러워요  한번 방문 김치 순두부 직접 두부   첩 반상 솥밥 콩 비지 만원 감사히 김치 순두부 좀 반찬 간 좋았습니다 다음 두 부정 식  불친절하고 위생 생각 안좋음 맛 그냥 그런데 양도 
38,백소정 안암본점,서울 성북구 개운사길 30 2층,3.5,맛있긴한데 점점 비싸진다  전 카레 마제 소바 짱  마제 소바 낫밷 
39,폴드커피,서울 성북구 종암로 214-3 1,2층,           
40,죠셉의커피나무,서울 성북구 성북로31길 65,4.2,           
41,카페루틴,서울 성북구 보문로34가길 6 1층,4.1,감성 카페 카페라떼  강렬한 산미 특징 블랙 미학 두드러지는 인테리어 감 내해 다소간 불편함  맛 평범하나 분위기 좋음 사장 님 열정 
42,동우설렁탕 본점,서울 성북구 개운사길 45,4.3,굿      김치 킹 정합 니 
43,야마토텐동,서울 성북구 고려대로28길 2 1층,3.9,    맛 괜찮지만 매장 일본 풍  음식 너무 튀김 바삭 굳이 올 만 이유 없는 곳 
44,일번지정육식당 돌곶이점,서울 성북구 화랑로 254 1층,4.0,가성 맛있게 있는 곳 자주 웨이 팅 좀 있긴 하지만 그래도 금방 같아요 알바생 들 친절하고 좋아요 특히 된장찌개 너무 맛있어요 굿  맛있고 직원 분들 친절해서 좋았어요  살 단독 먹멌을때 맛있었어요 한 마리 고기 좋아하는 사람 들 가성 비 좋은 듯 
45,구포국수 1호점,서울 성북구 성북로 52-1,3.4,번은 유명 세 가지 두 번은 가지 집  기대했는데 별로 해물 파전 거 느낌     
46,그레도제빵사,서울 성북구 화랑로 304,3.8,재료 안 맛집 자리 넓어요  맛있는데 너무 추워요  그냥 아니라 목도리 털 바지 정도 손 시려 워 빵 다 못   여름 괜찮은데 겨울 절대 피하 그레   
47,쵸이양식,서울 성북구 동소문로20나길 24 2층,4.5,해 파스타 진짜 존맛 또      처음 분위기 좋고 파스타 안 느끼하고 너무 맛있었어요 너무 잘 
48,국시집,서울 성북구 창경궁로43길 9,3.0,    주말 사장 님 입구 호객 행위 나름 맛집 기대하고 코베 느낌 제대로 문어 몇 점      원 이라니 쩝 혹시 사장 님 다른데 가세 후회  문어 수육 값 양 너무 적어도 너무 양 확인 국시 양도 다른 안동 국 시집 바 편이 맛 그저 그렇습니다 이런 양 이런 맛 가격   사람 똑같은 판단 
49,우정초밥,서울 성북구 종암로3길 31 1층,4.8,그냥 최고                      초밥 계 메시  진짜 매우 대 존맛 가격 가성 비 있고 너무 좋아요  가성 비 최고 정말 인정 셰프 님 바로 앞 눈 즐거웠다 완전 비싼 류 이 가격 아주 훌륭한 식사 의자 좀 낮아서 안 그래도 맛있게 잘 근데 이런 데 술 아저씨 들 있다니 충격 이런 사람 들 있으면 조금 주의 좋겠는데 아무 제지 침 시끄러워서 좀 
50,송림원,서울 성북구 동소문로 25-2,3.6,    짜장면 가성 비 홍콩 반점  오래된 화상 노포 종종 아쉽게도 어느 순간 가짜 간짜장 
51,메리킹 서울북부점,서울 성북구 종암로 167 4층,3.8,주인 같던데 짜증 내면 얘기 어이 없었음  종류 많고 맛있어요 가격 괜찮음  젤 좋아함 
52,천막집,서울 성북구 보문로30길 31,4.4,여기 진짜 맛집 맛있어용 근데 벨 없어서 시끄러운데 주문 어려워요       월   일 퇴근 테이블 링 원 격줄 서기   분 뒤          옆집 술 있다가 방문 돼지 김치 곱창 대 창구 이   인분 라서 배      인분 힘들어서 그 러신 건가 생각 다 이 메뉴 같은데   인분 씩 두 파시   다른 메뉴 너무 배불러서 못    다음 퇴근   분 전 테이블 링 해  웨이팅 정말 심합니다 어플 대기 대기   번인 상태   분 을 추가 양념 맛있었고 또 맛 강해서 따로 못 정말 맛있었지만 웨이팅 너무 길어 재 방문 의사 없습니다 
53,광명수산,서울 성북구 동소문로 125,4.3,대 방어 회 작게 양도 오픈 주방 직원 다른 직원 교육 쌍욕 소리 무도 사람 없네요 두 번 다시 이유 전혀 없음      오전 예약 방문 예약 안되어 있었고 식기 제대로 세척 안되서 실망 대 방어 대자 주문 옆 테이블 중 자 비슷함 여 실망 후기 가면 안된다 사진 다른 분 이 거 못 
54,빕스 미아점,서울 성북구 월계로 32 삼성디지털프라자 3층,2.4,오픈 전 오픈 안내 시간 없고 직원 아무 말 없이 척 참나 직접 그제야 무성의 안내 멘트 한마디 시설 서비스 엉망  리뉴얼 친절 도나 주문 시스템 훨씬 불편해  이전 몇 년 뉴 고   번 째 첫 달 퀄 너무 돈 아깝 
