,name,addr,grade,review
0,청와옥 본점,서울 송파구 위례성대로 48 반도빌딩 1층 102호,3.1,양 많은 순대 국밥집         
1,명인밥상,서울 송파구 송이로 157 지하1층,2.9,오늘 가족 모임 가성 비 맛 청결 모두 만족합니다 주위 지인 들 추천 실수 같습니다  맛있었어요 친구 들 부모님 모시 장사 잘 안 좋겠어요  대표 메뉴인 갈비찜 찜 탕 가깝고 고기 부위 너무 질김 셀프 바 반찬 리필 가능하지만 딱히 엄청나게 맛있는 반찬 따로 없음 맛 너무 비쌈 그러고 사장 매니저 인 아저씨 너무나 불친절함 밥 직원 보고 너무 불편했음 차라리 여기 오지 문정 있는     밥상 
2,함경도찹쌀순대,서울 송파구 송파대로28길 32,3.6,맛있네요 바쁜데도 빙 빨라요 주차 너무 힘들어요  종종 가락동 이렇게 맛집 있을 줄 가격 좀 전부 맛있었다 순 댓 국 맛있고 순대 진짜 찹쌀 순대 특히 수육 최고 돼지 없고 좋았다  부터 익숙한 맛 국물 진함은 덜한 편 고기 양은 매우 넉 넉 유명 세 타 주말 점심 웨이 팅 있음 
3,다운타우너 잠실,서울 송파구 백제고분로45길 3 1층,4.0,언제나 햄버거 입니다 햄버거 모두 맛있어요  아무 맛 안나 빵 버터 떡 칠해서 느끼함 이렇게 아무 맛 안나 는걸 만원    감 함  햄버거 맛있어요 
4,라라브레드 송파점,서울 송파구 오금로16길 4,4.0,리뉴얼 좀더 힙 트렌디 느낌 치아 글 드라이 쪽파 크림 치즈 스프레드 존맛탱 빵 들 종류 많고 맛있고 분위기 좋아용  이 것 저 것 많이 생각 가격 저렴해서 놀람 가성 비 맛집  치아 글 유명하다 고해 궁금했는데 못 아쉽지만 커피 파니니 맛있어서 브런치 맛 오픈   시 인데   시 에 빵 다 넉넉히   시 가면 듯 매장 넓고 빵 종류 다양하고 아기자기해서 너무 예뻤어요 
5,별미곱창 본점,서울 송파구 오금로11길 14 1층,3.2,정말 맛있는데 가격     인분    만원 으로 인상  맛 엄청나지만 가격 사악한 곳     
6,몽중헌 방이점,서울 송파구 위례성대로 10 S타워 20, 21층,           
7,갓잇 송리단길점,서울 송파구 오금로16길 20 1,2층,           
8,청와옥 석촌호수직영점,서울 송파구 삼학사로 96,3.0,서비스   일부러 웨이 팅 자리 있는데 안   사장 님 점 장 조폭 강     다 화가       맛 평범   주차 합리 적 가격 식사 가능 그 부분 괜찮 다만 이돈 더 보태 그냥 다른데 지인 간다 그럼 말림  음식 체인 괜찮은 편이 서비스 개판 오 분전 계속 세트 하나 하나 일일이 줌 심지어 공기밥 그러면서 반찬 달라 그건 또 셀프 본인 잘못 대한 최소한 미안함도 없다는거지 진짜 이렇게 홀 관리 안되는 처음     
9,해주냉면,서울 송파구 백제고분로7길 8-16 1층,3.4,  인석 있어서 먹기 편하고 맛있음    밀 키트 보고 밀 키트 역시 더 맛있긴하네요  비빔냉면     
10,고도식 잠실점,서울 송파구 백제고분로45길 28,3.7,고기 맛있고 밑반찬 좋아요  고기 맛있었는데 소리 너무 시끄러워서 동행 사람과 대화 못 멀 미나 느낌  굿 
11,봉피양 방이점 본관,서울 송파구 양재대로71길 5,3.8,봉피 양 뜻 뭐 평양 냉면 발음 한 것 다른 의미 있는것으로 막연히 생각 잠깐 헛웃음 이집 대표 음식 중 하나 이모 님 정성 스레 돼지갈비 요 서비스 수준 높으니 고 기 맛 더 좋은 것 같네요 식사 된장찌개 구수한 깊은 맛 있고 메밀 향내 폴폴나 면발 소고기 육 향 감칠맛 나 평양 냉면 이집 시 그 니 처임 맛 있습니다                 돼지갈비 좋아하는데 진짜 맛있어요 
12,군산오징어 잠실본점,서울 송파구 삼학사로 101 군산오징어빌딩 1,2층,           
13,산들해 송파점,서울 송파구 위례성대로 6 현대토픽스 2층,3.2,강남 가격 착합니다 수고 번창  오랜 만 가격 조금 여전히 맛있네요    대기 좀 있지만 밥 맛있고 반찬 리필 좋아요 게장 맛 좀 애매했어요     이만 한정식 잠실 찾기 어렵네요 직원 들 친절하고 가족 즐겁게 한 끼 좋아요 평일 사람 북적 웨이팅 꽤 있습니다 예약 추천 주차 어려운 편 그래도 한정식 때 또 
14,진지아,서울 송파구 백제고분로41길 12-9 1,2층,           
15,오향가 가락본점,서울 송파구 송이로 106,4.2,    포장 음식물 쓰레기 같이 상식 적 뼈 귀 포장 안 정식 포장 착각 그렇겠지라고 이해 노력 비닐봉지 본인 들 보기 못 거 아닌가 설마 장사 잘 집 음식물 처리 비용 아까워서 손님 들 쓰레기 아니겠죠 그래도 맛 있어서 별 두 개 줌 그리고 안감     
16,육화식당,서울 송파구 올림픽로32길 29 1,2층,           
17,오레노라멘 송파점,서울 송파구 백제고분로45길 17-3 1층 102호,4.5,라멘 처음 진짜 맛있어요      제 입 정말 느끼했어요 특히 소유 버전 정도 짬 
18,벨라스가든,서울 송파구 백제고분로41길 42-19,3.6,애피타이저 샐러드 갑 오브 갑 먹물 리조또 중 제일 맛있음 여기 성수 점 두 군데 다 분위기 깡패 주차 좀 대중교통 사용 하 심           비주 이쁜데 신기하게 맛 너무 평범 분위기 맛집 
19,단디 송리단길본점,서울 송파구 백제고분로45길 7 1층,3.9,        아나고 동 
20,삿뽀로 방이점,서울 송파구 오금로11길 7 제이타워빌딩 2층,3.4,회반 불고기 한 젓가락   명 다 안 돈 아까운 곳 예식장 식당 느낌 같음      음식 나 안 봄 
21,툇마루밥상,서울 송파구 송파대로22길 11 1,2층,           
22,늘푸른목장 잠실본점,서울 송파구 백제고분로9길 34,3.5,빗살            원    인분   인분 추가 계산 때   인분 계산 직원 주문 못   인분 미안하다는 말 없고 담 때 얘기 하라 먼저 죄송하다고 양해 구 거 아닌가 그렇게   인분 씩 더 장사 배부르게 거기 기분 거 같아서 그냥 계산 담 절대 안  테이블 웨이 팅 관리 안되는데 손님 계속 짜증 사장 가성 비 서비스 최악 돈 
23,멘야하나비 서울본점,서울 송파구 백제고분로45길 38 1층 103호,3.7,남자 직원 분 태도 최악 사람 상대         
24,잠수교집 3호점,서울 송파구 송파대로49길 51,3.6,어쩌다 한번 갈까말까 뷔폐먹는 한 맛  맛 절대 아님     
25,엘리스리틀이태리,서울 송파구 백제고분로41길 43-21 1층,4.0,비싸면 비싼 값 그걸 못 가격 원래 곳 아니었지만 무슨 파스타 하나 거의  만원 에 달 양은 엄청 피자 물기 너무 많고 물가 아무리 이 가격 이 양 이 맛 진짜 아니다 일요일 점심 웨이 팅   분 이라더니    뷴 그렇게 곳 절대 아님  가격 대비 양 너무  식전 빵 피자 맛 좋아요 그런데 파스타 종류 양 아주 
26,홈수끼,서울 송파구 위례성대로 134,3.6,  코스   인 두번째 방문 서빙 불친절   내 것 숟가락 젖 가락 받침 없어 문의   알반 사장 아들   인지 세 팅 하 허허 당당 사장 문의 그러라네 하 열 뿔 딱지 엎 어 라다 딸내미 때문 네가지 없는   끼 사장 장사 잘 무시 알반 아들   인지 교육 내 또 그      조동아리 블 랑게    코스 야채 고기 해산물 하나 하나 직접 다해 그릇 너무 친절하시고 설명 잘 좋아요 맛 맛 직원 분들 친절하셔서 너무 좋았어요  올 때 조선족 홀 서빙 아줌마 들 너무 불친절해요 
27,평이담백 뼈칼국수 방이점,서울 송파구 위례성대로18길 31-12,4.1,    존맛 뼈 맛있고 비빔 만두 다 맛있고 친절해요  존맛 탱 비빔 별미 
28,방이샤브샤브칼국수 방이본점,서울 송파구 오금로31길 42,4.4,방이샤브 처음 라면 스프 맛 많이 왜 유명한지는 다른 가게 당연히 추가 금 야채 추가 알 두 번 추가 아까 한번 핀잔 그 말투 기분 나빴네요 라스트 시간  시 전인     분 쯤 주문 마감 시 간전 빨리 눈치 보      전 재 방문 의사 없습니다  라면 스프 맛 항상 줄 서서 맛집  동네 무난 샤브샤브 네 요 양은 많진 미나리 한번 리필 좋네 서서 정도 네 욥 
29,이성원쉐프의청년감자탕순대국 방이동 본점,서울 송파구 오금로19길 5 1층,3.6,송파구 감자탕 맛집      감자 고기 질 기고 고기 손 손가락 아파서 그냥 다 못 감자탕 오랜 만 실망 스럽네요 
30,롯데호텔월드 라세느,서울 송파구 올림픽로 240 롯데호텔월드 2층,3.7,    양 갈비 해산물 존맛  별 로 
31,크래버대게나라 잠실점,서울 송파구 오금로 165 웰빙빌딩 1층,3.8,    연말 사람 많을 것 같아서 며 칠 전 가족 모두 맛있게  종종 편이    당 싯 가격 책정 시스템 판매 자만 실제 게 무게 알 있어서 항상 찝찝함이 조리 전 생물 및 실제 무게 확인 불가 그냥 이     키로 그렇게 알 함 
32,골목떡볶이,서울 송파구 문정로1길 33,3.3,떡볶이 떡 쫄깃 맛있어요 만두 없이 건데 떡볶이 국물 맛있어요 순대 평범한 맛 이 고요 아주 특별한 맛 아니에요  떡볶이 트라우마 선사 못 장소   년 정도 지난 일이 아직도 이해 안 간다 아이 들 있었는데 떡볶이 국물 집게벌레 하반신 정확히 반토막 바로 토 친절하게도 돈 안 송파 구청 위생 과인 민원 제기 나중 확인 위생 점검 경고 지금 떡볶이 못  별 특별한 맛 아닌데 개 불친절 누가 공짜 
33,황도바지락칼국수,서울 송파구 백제고분로 358,3.4,면발 토실토실하니 맛있네요 만두 기 아주 무생채 아주머니 검거 알바 아주머니 아주 능률 좋습니다 목소리 엄청 남성 분 사장 님 엄청 열정 적 일 같아 이 계속 승승장구 같아요 자주  주말 사람 엄청 많아요    면도 통통하고 국물 맛있고 만두 피 얇고 맛있었어요    보리밥 칼국수 국물 같이 기     절  난 전라도 사람 내 때 소금물 손 칼국수 그 위 바지락 별로 아 서 울 사람 들 이런 맛 좋다고 실망 그냥 집 너구리 바지락 
34,본가설렁탕,서울 송파구 석촌호수로 204,2.6,맛 정말 다시 일 없는 곳  설렁탕       원 재 방문 의사   국물 물 것 같다는 생각 정도 너무 묽고 얇 팍 맛 시중 팩 판매 사골 국 게 더 깊은 맛 날 것 같다  파마 대가리 아줌마 불친절 싸가지 없음 
35,뷰클런즈,서울 송파구 백제고분로43길 10 1층,4.1,조용한 분위기 좋고 자리 편안하지만 자리 끼리 가까워서 불편할 수 있음   층 계단         
36,화반 방이점,서울 송파구 오금로13길 8 1층,4.3,직원 분들 고기 직접 너무 편했고 친절하셔서 너무 좋았습니다 고기 맛 좋고 사이드 메뉴 너무 맛있어서 계속 방문 같네요 맛있습니다  맛 삼겹 평타 그 외 별로 목살 물 같음 서비스 최악 특히 남자 사장 머리 알바 하나 있는데 너무 멋있는 척 거북함 근데 심지어 불친절함     사장 눈 뭐 휙 고개 머리 알바   년 전 유행 아기 사과 표정 고기 가위 집게 탕 소 리나 아니 말 벙어리 옆 자리 까까머리 알바 분 고기 심혈 한 조각 한 조각 구 저 두 분만 없으면 평타  군침 사악 
37,취영루 송파점,서울 송파구 송이로 162,3.3,단체 모임 너무 맛 별로 임 왜 오래 한자리 있는지 의문 그리고 볶음밥 너무 짬  일단 밥 너무 탕수육 맛 맛 안 고기 너무 작아서 별로 임  가격 대 좀 있는 편이 확실히 맛있음 주차공간 널찍 주차 좋음 
38,비와별닭갈비 잠실직영점,서울 송파구 삼학사로 100 1,2층,           
39,할머니 포장마차멸치국수,서울 송파구 오금로11길 59,3.6,여기  시 까지  친절 도 맛있어요  불친절하고 손님 감당 정도 맛집 인 단발 뿔테 분 직원 사장 님  년 전 적 불친절해서 여기 원래 스타일  년 후 그 불친절 여전하네요 그렇게 일 싫으시면 본인 일 정신 없는걸 왜 온 손님 들 짜증 이 신지 소 주병 안 자리 밖 괜히 그게 손님 말 
40,청화초밥,서울 송파구 오금로13길 14 1층,3.9,    맛 변했어요 매장 초심  가격 저렴해서 나름 만 함 맛집 아니고 생각 갠차늠    
41,바이킹스워프 롯데월드몰점,서울 송파구 올림픽로 300 롯데월드몰 4층,3.2,직원 들 너무 그릇 거 열중 것 같아서 부담스러웠고 진짜 음식 최악 진짜 둘   만원 좀 랍스터 질 기고       원     랍스터 질겨    
42,도요스6가,서울 송파구 백제고분로45길 40 트윈레이크팰리스빌 1층,4.4,비 동 첫 입 휴지 종이 사장 님 말 하 쌩 새로 전 이 물질 뭔 지 말 안 안 계란 정말 기대 많이 근처 가면 꼭 곳 재 방문 의사 없습니다 이 가격 특별함도 딱히  역시 맛있어요     직원 분들 모두 친절합니다 안 해산물 모두 신선 다음 꼭 재 방문 예정 입니다 타이밍 잘 웨이팅 없었어요 주차 건물 바로 앞   대만 가능합니다 근처 공영 주차장 있는거 같긴     
