,name,addr,grade,review
0,구복만두,서울 용산구 두텁바위로 7 1층,3.7,샤오롱바오 전 너무 부실해 짐 옛날 같지 그래도 새우 만두 완전 맛있음  맛있는 만두 한데 웨이 팅 감안 더 좋은 대체재 근처 많은듯 해 크리스탈 제이드 쟈니 덤 플 링 피 좀 찰지지 못 중식 두 맛 기대하고 한식 만두 중식 만두 사이 그 어딘가 어중간한 맛 입니다 칭따오 안     고기 풍 미도 좀 약한듯     
1,맥심플랜트,서울 용산구 이태원로 250,4.3,주말 가면 자리 없음         일 좋은 카페 키 작은 남자 직원 개불 친절 
2,올드페리도넛,서울 용산구 한남대로27길 66 2층,3.8,직원 분들 친절하고 도넛 맛있어요  제 도넛 가게 중 아직 여기          
3,패션5 한남점,서울 용산구 이태원로 272 1층,3.0,저녁 가면 종류 원래 이렇게나 없나요 파리바게트 더  가격 정말 좋은 곳  엄청 쥐 베이커리   층 쥐라 뇨 맛 맛 제발 위생 신경 
4,손문 대구막창갈매기살 용산점,서울 용산구 새창로 213-9,4.3,신용산 최애 맛집 집 앞 종종 돼지갈비 이만 곳 못 단점 가게 어 수선  맛있어요 고기 다 좋고 쟁반 국수 굿  정말 좋은 음식 친절한 서비스 
5,오근내닭갈비,서울 용산구 이촌로29길 15,3.6,오 근 내 닭갈비 사랑      맛 있으나 웨이 팅해 가면 정도 아님     
6,한남동한방통닭,서울 용산구 대사관로34길 38,4.0,맛있음  맛있어요 맛있어요  맛 너무 유명해요 그럭저럭 맛 요 
7,남영돈,서울 용산구 한강대로80길 17 1층,4.0,항정 목살 나    돼지고기 부위 중 항정살 제일 좋아하는데 남영 돈 역시 역대 급 맛있네요    브리 살 맛 김치 다른 밑반찬 들 다 맛있었음 다    물냉 쫄면 새 콤 달콤하니 입가심 딱 좋 음유    웨이팅 걱정 볼 엄두 못 주말 어중간한 시간 오니   분 정도 좋았슴다  고기 살살 항정살 브리 살 진짜 미쳤어요 김치 국수 딱 개운해져서 맛 두 개 목살 진짜 맛있고 삼겹살 꽤 
8,파이프그라운드,서울 용산구 한남대로27길 66 지하 1층,3.9,오픈 시간 즈음 대기 없이 대기 한 맛 아니에요 예전 줄 엄청 길었었는데 그냥 번 족 맛 피자 반 반 포장 안되 네 용  안 다 맛있어요     
9,다운타우너 한남,서울 용산구 대사관로5길 12 1층,4.2,요즘 수제 버거 가격 생각 가성 비 나쁘지 생각 버거 중 맛 패티 번 프라이 모두 좋았어요 특히 감 안 좋아하는데도 치폴레 정말 좋았습니다  수제 버거 국내 탑 리저 국내 두번째 추천 맛집 입니다     
10,부자피자 1호점,서울 용산구 이태원로55가길 28,3.8,너무 전체 적 음식 들 다      다 못 습 네 미국 식 피자 짠맛 제대로  오랜 만 요즘 맛있는 피자 집 많이 그래도 부자 피자 아직 맛 승부 수 있네요  피자 도우 쫄깃쫄깃 존맛 다른건 그저 그랬고 담 가면 피자 두 판 같아요 
11,24시뼈다귀감자탕,서울 용산구 대사관로 73 1층,4.0,소주 최고  조미료 맛 많이 나 그래도 맛있다는 것 부정 수 없음 술 진짜 맛있고 특히 뼈찜 감자 추 가해 감자 그 구황 작물 말 그거    개맛 도리  그냥 그럼 
12,오근내2닭갈비,서울 용산구 한강대로11길 13,3.0,닭갈비 맛 별 루고 직접 주먹밥 복음 밥 맛남    평일 기준 오후  시   분 쯤 도착 대기 없이 바로 수 있지만  시 쯤되면 웨이 팅 시작 것 같아요   닭갈비 다 비슷할 줄 양념 너무     맛 강하지 상대 적 점잖은 편 질리 계속     무엇 배추 같은 야채 양 어마 무시 촉촉하게 수 있는 게 장점 동시 닭고기 넉넉해서 인원 주문 정말 배부르게 수 있어요        우동 추가 필수   참고 물기 수 있다 셋팅 먹기   분 정도 소요 테이블 별로 어느 정도 조리 점 참고  일요일 화요일 또 옴 
