,name,addr,grade,review
0,1인1잔,서울 은평구 연서로 534 1 2층,3.7,지인 약속 땜 우연히 간 곳 굿         
1,백년가게 만포면옥 본점,서울 은평구 연서로 171 1 2층,3.4,    화재 손실 손님   가격 양은 줄  평냉 좋아하는데 근처 이렇게 맛있는 집 정말 좋아요 만두 고기 얇게 다 저 진 독특하구요    평냉 입맛 편차 전체 별 점 보 단평 많이 
2,벙구갈비,서울 은평구 응암로 269 1층,4.5,고기 질 너무 좋은 곳    만족  줄 고 기질 좋음  계속 지금 초심 말 
3,충무칼국수,서울 은평구 은평로 193 2층,4.4,칼국수 굴 보쌈  굴 보쌈 대 맛집 수육 부들하니 맛있고 김치 악  포장 굴 보쌈 괜찮았음 근데 칼국수 국물 판다 함 그럼 면은 따로 주시 면은 안 왜 그러냐 자기 들 맘 함 정말 워딩 이랬음 사장 할아버지 오만하고 무례한 투 였음 너 다른 손님 많으니 귀찮게 말 느낌 걍 상호 충무 보쌈 
4,원조두꺼비집불오징어,서울 은평구 연서로28길 5 1,2층,           
5,가이오국수 본점,서울 은평구 연서로 132 1층,4.0,    배탈  불친절하고 아줌마 들 자기 끼리 엄청 시끄럽게 주문 때 빨리 하라 성질 맛 있지만 
6,구석집,서울 은평구 통일로83길 17-5 1층,3.8,곱전 생각 뱔 로이 꼬비     직원 분들 친절하시고 기분 좋게  돼지 냄새   너무 많이 나요 돼지 내장 특유 쿰쿰한 향 좋아하시면 좋아 있을거 같은데 저 쪼금 빡세 네 그 외 직원 분들 친절하시고 반찬 들 너무 너무 맛있습니다 
7,옥탑방,서울 은평구 서오릉로 115 1층,4.4,너무 맛있음 맛있어서 많이   웨이팅 어쩔 수 없다 생각 함 개맛 있으니까           
8,홍제동30년 우동국수,서울 은평구 서오릉로 242,2.9,몇번 방문 맛 맛 이상하다고 하니 냉동 어쩌구 저쩌구 아무 상관 없다 그리고 닭발 비닐 랩 뭉치 뭐 그럴수도 있지 근 데 미안하단 말 한번 없이 떳떳하다는 표정 뭐  국물 맛 밍밍 재 방문 의사 없음     맛 친절 상관관계 있진 오히려 불친절 맛 타입   년 용할 정도 불친절 끝판 왕 주인 맘대로 장사 곳 이런 부분 별 상관없다면 한번 한 곳임 
9,중화원,서울 은평구 통일로66길 10-16,3.6,탕수육 자극 적 달 소스 꼬뜰꼬들 고기 비계 및 튀김 옷 보이지 짬뽕 면발 느끼하지 자극 적 개운한 국물 가볍게 수도 있음 은 마치 콩나물 국밥 마냥 시원 국물 남김없이 진한 향 자스민 차가 제공 금상첨화 일 듯  짬뽕 누룽지 탕 곳 방송 타고 사람 예전 아닌  소문 그닥 
10,서부감자국,서울 은평구 서오릉로 8,3.0,때 여기 반찬 굴 김치 맨날 굴 엄마 엄청  집 근처 가끔 집 멀면 굳이 필요 없을듯 해  소주 및 맥주     원 
11,갈현동할머니떡볶이,서울 은평구 통일로87길 8-1,3.3,맛 학교 앞 떡볶이 가격 프렌 차 이즈 양은 시식 코너  추억 장사 맛없는 곳  때 자주 곳 떡 옛날 떡    
12,제주도그릴 특상 은평본점,서울 은평구 응암로 373 역촌빌딩 1층,3.4,고기 맛있습니다 제주 돼지 인근 식당 여기저기 여기 정말 괜찮아요 특히 일 분 들 고기 맛있게 종류 별로 젓갈 맛있고 요새 고기 집 쌈 야채 없는 곳 많은데 쌈 목 살이 육즙 줄줄 정말 맛있습니다 오 겹살 평균 적 맛 목살 오 겹살 근처 제 주마 더 맛있어요 다만 맛집 주차 공간 많이 없어서 조금 불편했네요  밑 만찬 소스 독특함 과 고기 궁합 좋으며 흑 돼지 숙성 상태 잘 맛있고 직원 들 신경 직접 고기 좋았습니다 그러나 전체 적 가격 비싸고 테이블 간의 간격 좁아 같이 방문 일행 대화 불편합니다  역촌역   번 출구 근처 조그만 고깃집 시절 진짜 미친듯이 자주 곳 이렇게 
13,스시쇼부 1호점,서울 은평구 은평로13길 11-9 1,2층,           
14,근린커피,서울 은평구 응암로21길 23,3.6,다 괜찮은데 노래 좀 아쉬워요 재즈 피아노 곡 가게 분위기 도 가요 계속 왠지 좀 가기      사장 님 진짜 친절 
15,카페뤽상부르,서울 은평구 연서로25길 6-11 1, 2층,           
16,원조은평감자국,서울 은평구 응암로 287,4.3,은평구 감자탕 원 탑  소   인분 생각 냄새 전혀 담백합니다 수제비 꼭  국물 깔끔하고 담백해요 등뼈 캐나다 산 고기 부드럽고 다만 우거지 기본 포함 아니고 추가 요금 있습니다 
17,골목집갈비살,서울 은평구 연서로27길 12-9 1층,4.2,진짜 맛있어요 근데 너무 비           
18,풍천장어 응암점,서울 은평구 응암로 340-1 대진빌딩 1층,5.0,    평점   점 이상해서 치팅 역시 역시 모든 완벽 데스  몸 으슬으슬할때 야함 
