,name,addr,grade,review
0,금돼지식당,서울 중구 다산로 149,3.8,김치찌개 미쳤어요      맛있긴한데 포지션 좀 애매함 일단 비싸고 둘 양 적당히   만원 나오고 양    창렬함 진짜 고기 맛있는데 이 또 막 재 방문 정도 퀄리티 아니라서 그냥 명성 기대하고 가면 실망할 수도 
1,우래옥 본점,서울 중구 창경궁로 62-29,4.0,친절하다고 못 있어도 빨리  맛있었고 손님 많음에도 불구 친절했어요  전통 맛 
2,진작,서울 중구 수표로12길 12 1층,4.1,후토 마키 많이 이만 한 데 없는 것 같아요 너무 맛있게 메론 소 다듀 맛있었어요    양도 많고 맛있었어 욤 다음 또 습  돈까스 후 토마 끼 대창 밥 후 토마 끼 정말 너무 커서 놀랬어요 여성 분들 한 입 먹기 힘들수 있어요 그리고 돈까스 대창 밥 꼭   
3,태극당,서울 중구 동호로24길 7,3.2,맛 둘째 알바생 들 진짜 불친절 가지 없다고 얘기 자연 그런 말 응대 빵 결제 알바생 불친절 한번 음료 주문 때 결정 적 다시 더 느낌  커피 맛없 엉     
4,정원레스토랑 어반가든,서울 중구 정동길 12-15 1층,3.7,언 제 가도 진짜 음식 맛있고 분위기 계절 별로 달라 매번 새로운 느낌    이 근처 항상 방문 사장 님 굉장히 친절하세요 다음 방문  스테이크 야들야들 기름기 별로 없고 식 감고 좋고 너무 맛있게 너무 잘 다음 달 소개팅 있는데 장소 여기 인테리어 너무 잘 데이트 코스 필수 장소 듯 소개팅 잘 자주 너무 잘       진짜 카카오 리뷰 왜 맛있고 특별한 날 가기 좋구먼 카카오 진짜 사람 들 이상하네요 방문 말      저 여기 프로포즈 지인 들 도 만족한다고 맨날 그럽니다 
5,마복림떡볶이,서울 중구 다산로35길 5 1층,2.8,즉석 떡볶이  보통 입니다     
6,디라이프 스타일키친 광화문점,서울 중구 세종대로 136 파이낸스센터 지하1층 101A호,3.5,저 맛있게 직원 분들 다 친절하시고 물 다 그릇 얘기 안 해도 바로바로 불편함 없이 식사 습 일행 들 꽤 많이 양 많다고 끝        근데 간이 전체 적 강한 편이 제 약간 싱겁게 타입 물 엄청 많이   가격 사실 서비스 값 생각 별 생각 안 가성 비 식당 당연히 아닙니다 그래도 만족했어용  요 근래 간 레스토랑 중 진짜 제일 별로 음식 너무 진짜 웬만해서 리뷰 안 쓰려 스테이크 장난 합 진짜    너무 질겨 명란 파스타 너무 딱 두 입 다 그리고 실패하기 어려운 샐러드 싱싱하지 잎 파리 너무 많았고 샐러드 안 있는 소고기 너무 심했습니다 회사 주변 어느 정도 값어치 있는 곳 진짜 밥 돈 아깝다라는 생각 너무 오랜 만 당황 스럽네요 제발 음식 간 좀 네이버 평점 너무 좋아서 알바 진짜 당 한 기분 요 맛 너무 별로 불쾌한 첨 이 가격 음식 그 맛 보답  양적 비싸고 사실 상 예 약 필수 그 정도 맛 아니고 익숙한 기성품 반 조리 식품 맛 
7,원조만선호프 노가리체인본점,서울 중구 을지로13길 19 1층,1.5,분위기 보고 곳  닭 설 블 친절 주문 안주 안 못 다른 직원 화 나이 아저씨 정말 그렇게 장사  직장 동료 들 추억 가성 비난 좋다 직장인 들 곳 사람 많을 수 밖 북적 북적 것 싫은 분 들 피해 곳 
8,유즈라멘 만리동점,서울 중구 만리재로 217,4.1,맛 지평   재 방문 딱히  라멘 맛 확실히 있어요 서울역 이정 맛 곳 없죠 다만 웨이팅 너무 길고 분위기 빨리 야하는 분위기 아쉬움 있습니다  굿 
9,오장동함흥냉면,서울 중구 마른내로 108,2.5,이 가격 이 맛 쫌 아닌듯 너무 비쌈 옆 흥남 집 더 맛있음  발레 주차      원 맛 회 냉면  육 수 맛 좋다는 생각 어머니 저 직원 들 서빙 별로 김치 정도 것 어머니 상식 면 가만히 있었거든요 상식 적 안 한 분위기 
10,목멱산방,서울 중구 퇴계로20길 71 1층,3.1,        주문 반찬 물 리턴 모든 셀프 식당 무슨 개인 푸드코트 같은 곳그 음식 값 굳이 모든 노동 력 제공 맛 그냥 비빔밥 사장 님 같은 분 사진 줌 
11,사랑방칼국수,서울 중구 퇴계로27길 46 1층,4.1,솔직히 칼국수 그냥 평범한데 백숙 레전드 임  이렇게 부드럽고 맛있는 백숙 처음 입니다 이모 님 사 장님 들 친절하세요  웨이 팅 생각 바로 좋았어요 이모 님 친절하시고 닭 엄청 야들야들해요 두 명 이 칼국수 백반   인 양 많아요 칼국수 멸치 칼국수 느낌 평범 나쁘지 닭백숙 맛 요 
12,원조남산왕돈까스,서울 중구 소파로 107,1.6,    여러분 이집 원조 아니지만 여러분 유트뷰 보신 진짜 원조 집 곳 좀더 위쪽     번지 남산 돈가스 어째서 지도 표시 안되있네요 빼 같은데 하여튼 일단 이집 원 조 집 다툼 그 집 아닙니다 물론 가게 명 원조 아니고요  김밥천국 돈까스 압승 
13,하동관 명동본점,서울 중구 명동9길 12,2.6,비싸고 양 맛 평범함 불친절하고 좌석 좁음  가격 창렬창렬해 피 곰탕 국물 나 올 타임 넘버원     
14,광화문국밥 본점,서울 중구 세종대로21길 53 1층,3.9,몇 년 다시 광화문 국밥 평냉 맛집  맛   점 직원   점 안경 남자 직원 불친절함      원 짜리 돼지국밥 맑은 국물 깔끔한 국밥 입니다 특별한 점 없어요 깍두기 젓갈 무난 맛있고 국물 밥 고기 무난 맛있습니다 미슐랭 어쩌구 특별한 무언가 기대하신다면 실망하실 수 있을 것 같고 국밥 좋아하시는 분 들 깔끔하고 정석 적 맛 좋아하시는 분 들 
