name,datetime,min,max
명동 관광특구,2023-02-13 13:55,68000,70000
동대문 관광특구,2023-02-13 13:55,22000,24000
강남 MICE 관광특구,2023-02-13 13:55,20000,22000
홍대 관광특구,2023-02-13 13:55,58000,60000
여의도,2023-02-13 13:55,140000,145000
인사동·익선동,2023-02-13 13:55,24000,26000
DMC(디지털미디어시티),2023-02-13 13:55,28000,30000
북촌한옥마을,2023-02-13 13:55,1000,1500
성수카페거리,2023-02-13 13:55,12000,14000
가로수길,2023-02-13 13:55,32000,34000
압구정로데오거리,2023-02-13 13:55,24000,26000
창동 신경제 중심지,2023-02-13 13:55,28000,30000
영등포 타임스퀘어,2023-02-13 13:55,16000,18000
노량진,2023-02-13 13:55,14000,16000
쌍문동 맛집거리,2023-02-13 13:55,3000,3500
수유리 먹자골목,2023-02-13 13:55,10000,12000
낙산공원·이화마을,2023-02-13 13:55,200,300
창덕궁·종묘,2023-02-13 13:55,14000,16000
구로디지털단지역,2023-02-13 13:55,38000,40000
선릉역,2023-02-13 13:55,62000,64000
광화문·덕수궁,2023-02-13 13:55,34000,36000
서울역,2023-02-13 13:55,22000,24000
경복궁·서촌마을,2023-02-13 13:55,10000,12000
가산디지털단지역,2023-02-13 13:55,44000,46000
서울숲공원,2023-02-13 13:55,12000,14000
역삼역,2023-02-13 13:55,40000,42000
남산공원,2023-02-13 13:55,16000,18000
국립중앙박물관·용산가족공원,2023-02-13 13:55,1000,1500
서울대공원,2023-02-13 13:55,2500,3000
강남역,2023-02-13 13:55,78000,80000
이촌한강공원,2023-02-13 13:55,2500,3000
고속터미널역,2023-02-13 13:55,16000,18000
월드컵공원,2023-02-13 13:55,4500,5000
용산역,2023-02-13 13:55,16000,18000
잠실종합운동장,2023-02-13 13:55,1500,2000
교대역,2023-02-13 13:55,16000,18000
반포한강공원,2023-02-13 13:55,1500,2000
잠실한강공원,2023-02-13 13:55,2000,2500
연신내역,2023-02-13 13:55,6000,6500
뚝섬한강공원,2023-02-13 13:55,2000,2500
망원한강공원,2023-02-13 13:55,1000,1500
신촌·이대역,2023-02-13 13:55,20000,22000
북서울꿈의숲,2023-02-13 13:55,3000,3500
왕십리역,2023-02-13 13:55,9000,9500
신림역,2023-02-13 13:55,10000,12000
건대입구역,2023-02-13 13:55,16000,18000
종로·청계 관광특구,2023-02-13 13:55,36000,38000
신도림역,2023-02-13 13:55,4000,4500
이태원 관광특구,2023-02-13 13:55,9500,10000
잠실 관광특구,2023-02-13 13:55,60000,62000
명동 관광특구,2023-02-13 13:55,68000,70000
동대문 관광특구,2023-02-13 13:55,22000,24000
강남 MICE 관광특구,2023-02-13 13:55,20000,22000
홍대 관광특구,2023-02-13 13:55,58000,60000
여의도,2023-02-13 13:55,140000,145000
인사동·익선동,2023-02-13 13:55,24000,26000
DMC(디지털미디어시티),2023-02-13 13:55,28000,30000
북촌한옥마을,2023-02-13 13:55,1000,1500
성수카페거리,2023-02-13 13:55,12000,14000
가로수길,2023-02-13 13:55,32000,34000
압구정로데오거리,2023-02-13 13:55,24000,26000
창동 신경제 중심지,2023-02-13 13:55,28000,30000
영등포 타임스퀘어,2023-02-13 13:55,16000,18000
노량진,2023-02-13 13:55,14000,16000
쌍문동 맛집거리,2023-02-13 13:55,3000,3500
수유리 먹자골목,2023-02-13 13:55,10000,12000
낙산공원·이화마을,2023-02-13 13:55,200,300
구로디지털단지역,2023-02-13 13:55,38000,40000
창덕궁·종묘,2023-02-13 13:55,14000,16000
선릉역,2023-02-13 14:00,62000,64000
광화문·덕수궁,2023-02-13 14:00,32000,34000
서울역,2023-02-13 14:00,22000,24000
가산디지털단지역,2023-02-13 14:00,44000,46000
경복궁·서촌마을,2023-02-13 14:00,12000,14000
서울숲공원,2023-02-13 14:00,12000,14000
역삼역,2023-02-13 14:00,40000,42000
남산공원,2023-02-13 14:00,16000,18000
