name,datetime,min,max
국립중앙박물관·용산가족공원,2023-02-06 00:20,300,400
서울숲공원,2023-02-06 00:20,3500,4000
서울대공원,2023-02-06 00:20,600,700
창덕궁·종묘,2023-02-06 00:20,2500,3000
이촌한강공원,2023-02-06 00:20,1500,2000
잠실종합운동장,2023-02-06 00:20,1500,2000
월드컵공원,2023-02-06 00:20,2000,2500
경복궁·서촌마을,2023-02-06 00:20,4000,4500
남산공원,2023-02-06 00:20,5000,5500
광화문·덕수궁,2023-02-06 00:20,3000,3500
반포한강공원,2023-02-06 00:20,900,1000
잠실한강공원,2023-02-06 00:20,1500,2000
뚝섬한강공원,2023-02-06 00:20,1000,1500
북서울꿈의숲,2023-02-06 00:20,3500,4000
망원한강공원,2023-02-06 00:20,700,800
이태원 관광특구,2023-02-06 00:20,3500,4000
강남 MICE 관광특구,2023-02-06 00:20,800,900
동대문 관광특구,2023-02-06 00:20,16000,18000
종로·청계 관광특구,2023-02-06 00:20,5500,6000
잠실 관광특구,2023-02-06 00:20,14000,16000
홍대 관광특구,2023-02-06 00:20,26000,28000
여의도,2023-02-06 00:20,18000,20000
북촌한옥마을,2023-02-06 00:20,500,600
성수카페거리,2023-02-06 00:20,1000,1500
DMC(디지털미디어시티),2023-02-06 00:20,5000,5500
명동 관광특구,2023-02-06 00:20,4500,5000
가로수길,2023-02-06 00:20,7500,8000
압구정로데오거리,2023-02-06 00:20,4500,5000
인사동·익선동,2023-02-06 00:20,4500,5000
창동 신경제 중심지,2023-02-06 00:20,16000,18000
쌍문동 맛집거리,2023-02-06 00:20,2000,2500
노량진,2023-02-06 00:20,6000,6500
영등포 타임스퀘어,2023-02-06 00:20,4500,5000
수유리 먹자골목,2023-02-06 00:20,8500,9000
낙산공원·이화마을,2023-02-06 00:20,200,300
구로디지털단지역,2023-02-06 00:20,5500,6000
역삼역,2023-02-06 00:20,6000,6500
선릉역,2023-02-06 00:20,10000,12000
서울역,2023-02-06 00:20,1000,1500
가산디지털단지역,2023-02-06 00:20,5000,5500
강남역,2023-02-06 00:20,14000,16000
고속터미널역,2023-02-06 00:20,1500,2000
교대역,2023-02-06 00:20,2500,3000
용산역,2023-02-06 00:20,3000,3500
연신내역,2023-02-06 00:20,3500,4000
신림역,2023-02-06 00:20,9000,9500
왕십리역,2023-02-06 00:20,5000,5500
신촌·이대역,2023-02-06 00:20,10000,12000
건대입구역,2023-02-06 00:20,10000,12000
신도림역,2023-02-06 00:20,800,900
국립중앙박물관·용산가족공원,2023-02-06 01:20,300,400
서울숲공원,2023-02-06 01:20,3000,3500
서울대공원,2023-02-06 01:20,600,700
창덕궁·종묘,2023-02-06 01:20,2500,3000
이촌한강공원,2023-02-06 01:20,1000,1500
경복궁·서촌마을,2023-02-06 01:20,4000,4500
남산공원,2023-02-06 01:20,4500,5000
월드컵공원,2023-02-06 01:20,1500,2000
잠실종합운동장,2023-02-06 01:20,1500,2000
광화문·덕수궁,2023-02-06 01:20,2500,3000
반포한강공원,2023-02-06 01:20,600,700
뚝섬한강공원,2023-02-06 01:20,1000,1500
잠실한강공원,2023-02-06 01:20,1500,2000
망원한강공원,2023-02-06 01:20,700,800
북서울꿈의숲,2023-02-06 01:20,3500,4000
이태원 관광특구,2023-02-06 01:20,3000,3500
강남 MICE 관광특구,2023-02-06 01:20,600,700
종로·청계 관광특구,2023-02-06 01:20,4500,5000
잠실 관광특구,2023-02-06 01:20,12000,14000
동대문 관광특구,2023-02-06 01:20,16000,18000
홍대 관광특구,2023-02-06 01:20,22000,24000
북촌한옥마을,2023-02-06 01:20,500,600
여의도,2023-02-06 01:20,18000,20000
성수카페거리,2023-02-06 01:20,1000,1500
명동 관광특구,2023-02-06 01:20,3500,4000
DMC(디지털미디어시티),2023-02-06 01:20,4500,5000
가로수길,2023-02-06 01:20,6500,7000
압구정로데오거리,2023-02-06 01:20,4000,4500
창동 신경제 중심지,2023-02-06 01:20,14000,16000
노량진,2023-02-06 01:20,6000,6500
인사동·익선동,2023-02-06 01:20,4000,4500
쌍문동 맛집거리,2023-02-06 01:20,1500,2000
영등포 타임스퀘어,2023-02-06 01:20,3500,4000
수유리 먹자골목,2023-02-06 01:20,8500,9000
낙산공원·이화마을,2023-02-06 01:20,200,300
선릉역,2023-02-06 01:20,10000,12000
구로디지털단지역,2023-02-06 01:20,5000,5500
역삼역,2023-02-06 01:20,5500,6000
가산디지털단지역,2023-02-06 01:20,4500,5000
고속터미널역,2023-02-06 01:20,1500,2000
서울역,2023-02-06 01:20,1000,1500
강남역,2023-02-06 01:20,12000,14000
용산역,2023-02-06 01:20,3000,3500
교대역,2023-02-06 01:20,2000,2500
연신내역,2023-02-06 01:20,3000,3500
왕십리역,2023-02-06 01:20,4500,5000
신림역,2023-02-06 01:20,8500,9000
신도림역,2023-02-06 01:20,800,900
건대입구역,2023-02-06 01:20,10000,12000
신촌·이대역,2023-02-06 01:20,9500,10000
국립중앙박물관·용산가족공원,2023-02-06 02:20,300,400
서울숲공원,2023-02-06 02:20,2500,3000
창덕궁·종묘,2023-02-06 02:20,2500,3000
서울대공원,2023-02-06 02:20,500,600
이촌한강공원,2023-02-06 02:20,1000,1500
남산공원,2023-02-06 02:20,4500,5000
경복궁·서촌마을,2023-02-06 02:20,4000,4500
잠실종합운동장,2023-02-06 02:20,1000,1500
월드컵공원,2023-02-06 02:20,1500,2000
반포한강공원,2023-02-06 02:20,500,600
광화문·덕수궁,2023-02-06 02:20,2500,3000
뚝섬한강공원,2023-02-06 02:20,1000,1500
잠실한강공원,2023-02-06 02:20,1000,1500
북서울꿈의숲,2023-02-06 02:20,3500,4000
망원한강공원,2023-02-06 02:20,600,700
이태원 관광특구,2023-02-06 02:20,3000,3500
강남 MICE 관광특구,2023-02-06 02:20,500,600
동대문 관광특구,2023-02-06 02:20,14000,16000
종로·청계 관광특구,2023-02-06 02:20,4000,4500
잠실 관광특구,2023-02-06 02:20,12000,14000
홍대 관광특구,2023-02-06 02:20,20000,22000
북촌한옥마을,2023-02-06 02:20,500,600
여의도,2023-02-06 02:20,16000,18000
성수카페거리,2023-02-06 02:20,1000,1500
명동 관광특구,2023-02-06 02:20,3500,4000
DMC(디지털미디어시티),2023-02-06 02:20,4500,5000
가로수길,2023-02-06 02:20,6500,7000
압구정로데오거리,2023-02-06 02:20,3500,4000
노량진,2023-02-06 02:20,5500,6000
인사동·익선동,2023-02-06 02:20,4000,4500
쌍문동 맛집거리,2023-02-06 02:20,1500,2000
